,Compiler,torchbench,huggingface,timm_models
eager,eager,3.62,5.10,4.06
aot_eager,aot_eager,7.66,11.48,10.01
inductor,inductor,57.35,49.43,97.41
inductor_no_cudagraphs,inductor_no_cudagraphs,57.38,45.85,98.06
