dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,BERT_pytorch,16,1,1,542,542,1.0000,0.9983,3.0817
cuda,Background_Matting,1,1,1,184,184,1.0000,0.9975,0.6174
cuda,LearningToPaint,96,1,1,72,72,1.0000,0.9931,0.4598
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,1,1,23,23,1.0000,0.9900,0.3343
cuda,attention_is_all_you_need_pytorch,32,1,1,594,594,1.0000,0.9980,2.3065
cuda,dcgan,256,1,1,14,14,1.0000,0.9862,0.3323
cuda,demucs,8,1,1,71,71,1.0000,0.9976,0.5701
cuda,densenet121,64,1,1,432,432,1.0000,0.9985,3.4724
cuda,detectron2_maskrcnn,2,122,120,1224,1762,0.6947,0.6945,4.8869
cuda,dlrm,0,0.0000
cuda,drq,1,1,1,26,26,1.0000,0.9874,0.3766
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,1,6,6,489,565,0.8655,0.9123,4.2350
cuda,hf_Albert,1,1,1,465,465,1.0000,0.9975,1.6134
cuda,hf_Bart,1,1,1,662,662,1.0000,0.9982,3.2048
cuda,hf_Bert,1,1,1,403,403,1.0000,0.9972,4.5195
cuda,hf_BigBird,1,64,75,5456,5527,0.9872,0.9691,7.5012
cuda,hf_DistilBert,1,1,1,237,237,1.0000,0.9958,0.8556
cuda,hf_GPT2,1,1,1,729,729,1.0000,0.9975,3.7624
cuda,hf_Longformer,1,4,4,3340,3343,0.9991,0.9956,9.3801
cuda,hf_Reformer,1,7,7,634,646,0.9814,0.9905,2.8229
cuda,hf_T5,1,1,1,854,854,1.0000,0.9986,6.8989
cuda,maml,1,23,23,751,1196,0.6279,0.5521,9.6097
cuda,maml_omniglot,1,1,1,15,15,1.0000,0.9864,0.3600
cuda,mnasnet1_0,32,1,1,153,153,1.0000,0.9973,0.6474
cuda,mobilenet_v2,16,1,1,154,154,1.0000,0.9969,0.6279
cuda,mobilenet_v3_large,32,1,1,188,188,1.0000,0.9971,0.7755
cuda,moco,32,11,7,0,-5,0.0000,0.0000,2.0558
cuda,nvidia_deeprecommender,256,1,1,14,14,1.0000,0.9845,0.3443
cuda,opacus_cifar10,64,1,1,70,70,1.0000,0.9953,2.3152
cuda,pyhpc_equation_of_state,1048576,1,1,373,373,1.0000,0.9946,0.5640
cuda,pyhpc_isoneutral_mixing,0,0.0000
cuda,pyhpc_turbulent_kinetic_energy,1048576,1,1,1943,1943,1.0000,0.9973,1.3174
cuda,pytorch_CycleGAN_and_pix2pix,1,1,1,92,92,1.0000,0.9969,0.4632
cuda,pytorch_stargan,16,1,1,57,57,1.0000,0.9964,0.4599
cuda,pytorch_struct,200,1,1,45,45,1.0000,0.9871,0.3784
cuda,pytorch_unet,1,1,1,72,72,1.0000,0.9958,0.5582
cuda,resnet18,8,1,1,70,70,1.0000,0.9948,0.4542
cuda,resnet50,32,1,1,176,176,1.0000,0.9974,0.7858
cuda,resnext50_32x4d,8,1,1,176,176,1.0000,0.9976,0.7753
cuda,shufflenet_v2_x1_0,64,1,1,246,246,1.0000,0.9971,0.8963
cuda,soft_actor_critic,256,1,1,13,13,1.0000,0.9765,0.2956
cuda,speech_transformer,1,4,4,1088,1198,0.9082,0.9388,2.8975
cuda,squeezenet1_1,16,1,1,67,67,1.0000,0.9945,0.4362
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,128,1,1,1181,1182,0.9992,0.3714,101.6253
cuda,timm_efficientnet,64,1,1,240,240,1.0000,0.9978,2.8114
cuda,timm_nfnet,128,1,1,590,590,1.0000,0.9988,8.8068
cuda,timm_regnet,32,1,1,447,447,1.0000,0.9987,10.6378
cuda,timm_resnest,32,1,1,131,131,1.0000,0.9955,0.5577
cuda,timm_vision_transformer,8,1,1,293,293,1.0000,0.9972,1.1569
cuda,timm_vovnet,32,1,1,130,130,1.0000,0.9968,2.0519
cuda,tts_angular,64,4,4,22,30,0.7333,0.8481,0.4337
cuda,vgg16,4,1,1,41,41,1.0000,0.9931,0.3682
cuda,vision_maskrcnn,4,246,266,3954,12142,0.3256,0.4733,13.9163
cuda,yolov3,16,5,3,326,327,0.9969,0.9968,15.1933
