dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,101.6253,128,1.0,1.0,1181.0,1182.0,0.9992,0.3714
cuda,huggingface,MobileBertForQuestionAnswering,63.5522,32,1.0,1.0,1617.0,1617.0,1.0,0.9992
cuda,huggingface,MobileBertForMaskedLM,62.8589,16,1.0,1.0,1630.0,1630.0,1.0,0.9993
cuda,timm_models,nasnetalarge,28.2148,16,1.0,1.0,1530.0,1530.0,1.0,0.9997
cuda,timm_models,pnasnet5large,21.4065,16,1.0,1.0,1153.0,1153.0,1.0,0.9995
cuda,timm_models,hrnet_w18,18.0602,128,1.0,1.0,1471.0,1471.0,1.0,0.9996
cuda,timm_models,dpn107,16.4182,64,1.0,1.0,991.0,992.0,0.999,0.999
cuda,huggingface,MegatronBertForCausalLM,15.7257,8,1.0,1.0,768.0,768.0,1.0,0.9984
cuda,huggingface,MegatronBertForQuestionAnswering,15.5985,8,1.0,1.0,769.0,769.0,1.0,0.9983
cuda,timm_models,tf_mixnet_l,15.2418,128,1.0,1.0,489.0,489.0,1.0,0.9989
cuda,torchbench,yolov3,15.1933,16,5.0,3.0,326.0,327.0,0.9969,0.9968
cuda,huggingface,XLNetLMHeadModel,14.0873,8,1.0,1.0,969.0,969.0,1.0,0.9993
cuda,torchbench,vision_maskrcnn,13.9163,4,246.0,266.0,3954.0,12142.0,0.3256,0.4733
cuda,huggingface,MT5ForConditionalGeneration,12.6649,4,1.0,1.0,1252.0,1252.0,1.0,0.9988
cuda,timm_models,mixnet_l,11.9157,128,1.0,1.0,474.0,474.0,1.0,0.9987
cuda,torchbench,timm_regnet,10.6378,32,1.0,1.0,447.0,447.0,1.0,0.9987
cuda,huggingface,MBartForConditionalGeneration,9.9499,8,1.0,1.0,1317.0,1317.0,1.0,0.9992
cuda,huggingface,BartForConditionalGeneration,9.7814,2,1.0,1.0,1317.0,1317.0,1.0,0.999
cuda,timm_models,swin_base_patch4_window7_224,9.6675,64,1.0,1.0,1350.0,1350.0,1.0,0.999
cuda,torchbench,maml,9.6097,1,23.0,23.0,751.0,1196.0,0.6279,0.5521
cuda,torchbench,hf_Longformer,9.3801,1,4.0,4.0,3340.0,3343.0,0.9991,0.9956
cuda,huggingface,AllenaiLongformerBase,9.1265,1,4.0,4.0,3306.0,3308.0,0.9994,0.9956
cuda,timm_models,dm_nfnet_f0,9.0258,128,1.0,1.0,590.0,590.0,1.0,0.9987
cuda,timm_models,fbnetv3_b,9.0041,128,1.0,1.0,456.0,456.0,1.0,0.9986
cuda,torchbench,timm_nfnet,8.8068,128,1.0,1.0,590.0,590.0,1.0,0.9988
cuda,timm_models,gluon_senet154,8.7034,64,1.0,1.0,979.0,979.0,1.0,0.9995
cuda,timm_models,cait_m36_384,7.9053,4,1.0,1.0,1377.0,1377.0,1.0,0.9993
cuda,huggingface,YituTechConvBert,7.8956,1,1.0,1.0,680.0,680.0,1.0,0.9984
cuda,timm_models,resnest101e,7.5592,64,1.0,1.0,992.0,992.0,1.0,0.9994
cuda,huggingface,BigBird,7.5483,1,64.0,75.0,5456.0,5530.0,0.9866,0.9716
cuda,torchbench,hf_BigBird,7.5012,1,64.0,75.0,5456.0,5527.0,0.9872,0.9691
cuda,huggingface,T5ForConditionalGeneration,7.3331,4,1.0,1.0,862.0,862.0,1.0,0.9987
cuda,huggingface,T5Small,7.2416,1,1.0,1.0,863.0,863.0,1.0,0.998
cuda,huggingface,GPTNeoForCausalLM,7.2261,4,1.0,1.0,1276.0,1276.0,1.0,0.9996
cuda,huggingface,GPTNeoForSequenceClassification,7.1184,4,2.0,2.0,1271.0,1272.0,0.9992,0.9995
cuda,torchbench,hf_T5,6.8989,1,1.0,1.0,854.0,854.0,1.0,0.9986
cuda,timm_models,densenet121,6.3936,128,13.0,13.0,565.0,573.0,0.986,0.996
cuda,timm_models,xcit_large_24_p8_224,6.2499,11,1.0,1.0,1293.0,1293.0,1.0,0.9992
cuda,huggingface,DebertaV2ForMaskedLM,6.1797,4,163.0,99.0,959.0,1037.0,0.9248,0.7833
cuda,timm_models,cspdarknet53,6.1763,64,1.0,1.0,305.0,305.0,1.0,0.9975
cuda,huggingface,DebertaV2ForQuestionAnswering,6.1338,4,163.0,99.0,957.0,1043.0,0.9175,0.7878
cuda,huggingface,XGLMForCausalLM,6.0509,4,4.0,4.0,1001.0,1002.0,0.999,0.998
cuda,huggingface,PegasusForConditionalGeneration,6.0352,8,7.0,7.0,1306.0,1310.0,0.9969,0.9982
cuda,huggingface,M2M100ForConditionalGeneration,5.8084,4,7.0,7.0,1319.0,1322.0,0.9977,0.9977
cuda,timm_models,twins_pcpvt_base,5.6734,128,1.0,1.0,1058.0,1058.0,1.0,0.9989
cuda,timm_models,nfnet_l0,5.5273,128,1.0,1.0,521.0,521.0,1.0,0.9988
cuda,timm_models,res2net101_26w_4s,5.4858,128,1.0,1.0,842.0,842.0,1.0,0.9994
cuda,timm_models,legacy_senet154,5.4491,64,1.0,1.0,979.0,979.0,1.0,0.9994
cuda,timm_models,poolformer_m36,5.2714,64,1.0,1.0,621.0,621.0,1.0,0.999
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.2492,64,1.0,1.0,874.0,874.0,1.0,0.9986
cuda,huggingface,LayoutLMForMaskedLM,5.0653,16,1.0,1.0,454.0,454.0,1.0,0.9978
cuda,timm_models,gernet_l,5.0358,128,1.0,1.0,246.0,246.0,1.0,0.998
