dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,adv_inception_v3,128,1,1,408,408,1.0000,0.9987,1.9799
cuda,beit_base_patch16_224,128,1,1,427,427,1.0000,0.9975,1.9253
cuda,botnet26t_256,128,1,1,293,293,1.0000,0.9976,2.6453
cuda,cait_m36_384,4,1,1,1377,1377,1.0000,0.9993,7.9053
cuda,coat_lite_mini,128,1,1,557,557,1.0000,0.9980,1.7921
cuda,convit_base,64,26,26,379,531,0.7137,0.6559,0.7693
cuda,convmixer_768_32,64,1,1,296,296,1.0000,0.9980,1.0544
cuda,convnext_base,64,1,1,461,461,1.0000,0.9981,2.6169
cuda,crossvit_9_240,64,27,27,537,618,0.8689,0.9409,1.9245
cuda,cspdarknet53,64,1,1,305,305,1.0000,0.9975,6.1763
cuda,deit_base_distilled_patch16_224,128,1,1,311,311,1.0000,0.9970,1.1803
cuda,densenet121,128,13,13,565,573,0.9860,0.9960,6.3936
cuda,dla102,128,1,1,485,485,1.0000,0.9987,2.4607
cuda,dm_nfnet_f0,128,1,1,590,590,1.0000,0.9987,9.0258
cuda,dpn107,64,1,1,991,992,0.9990,0.9990,16.4182
cuda,eca_botnext26ts_256,128,1,1,313,313,1.0000,0.9977,2.8593
cuda,eca_halonext26ts,128,1,1,345,345,1.0000,0.9979,3.1322
cuda,ecaresnet101d,128,1,1,692,692,1.0000,0.9990,4.2129
cuda,ese_vovnet19b_dw,128,1,1,133,133,1.0000,0.9950,1.5454
cuda,fbnetc_100,128,1,1,258,258,1.0000,0.9977,4.5155
cuda,fbnetv3_b,128,1,1,456,456,1.0000,0.9986,9.0041
cuda,gernet_l,128,1,1,246,246,1.0000,0.9980,5.0358
cuda,ghostnet_100,128,1,1,509,509,1.0000,0.9985,2.8162
cuda,gluon_inception_v3,128,1,1,408,408,1.0000,0.9983,1.9075
cuda,gluon_senet154,64,1,1,979,979,1.0000,0.9995,8.7034
cuda,gluon_xception65,32,1,1,485,485,1.0000,0.9987,1.9061
cuda,gmixer_24_224,128,1,1,501,501,1.0000,0.9982,2.2490
cuda,gmlp_s16_224,128,1,1,413,413,1.0000,0.9982,2.0395
cuda,hardcorenas_a,128,1,1,184,184,1.0000,0.9973,1.9973
cuda,hrnet_w18,128,1,1,1471,1471,1.0000,0.9996,18.0602
cuda,inception_v3,128,1,1,408,408,1.0000,0.9987,1.9109
cuda,jx_nest_base,64,1,1,793,793,1.0000,0.9989,4.7485
cuda,lcnet_050,128,1,1,126,126,1.0000,0.9955,1.3749
cuda,legacy_senet154,64,1,1,979,979,1.0000,0.9994,5.4491
cuda,levit_128,128,1,1,620,620,1.0000,0.9985,2.4719
cuda,mixer_b16_224,128,1,1,210,210,1.0000,0.9965,0.8598
cuda,mixnet_l,128,1,1,474,474,1.0000,0.9987,11.9157
cuda,mnasnet_100,128,1,1,205,205,1.0000,0.9969,3.1032
cuda,mobilenetv2_100,128,1,1,205,205,1.0000,0.9972,3.1058
cuda,mobilenetv3_large_100,128,1,1,233,233,1.0000,0.9976,3.0508
cuda,mobilevit_s,128,1,1,390,391,0.9974,0.9979,4.0943
cuda,nasnetalarge,16,1,1,1530,1530,1.0000,0.9997,28.2148
cuda,nfnet_l0,128,1,1,521,521,1.0000,0.9988,5.5273
cuda,pit_b_224,64,1,1,370,370,1.0000,0.9974,1.4591
cuda,pnasnet5large,16,1,1,1153,1153,1.0000,0.9995,21.4065
cuda,poolformer_m36,64,1,1,621,621,1.0000,0.9990,5.2714
cuda,regnety_002,128,1,1,267,267,1.0000,0.9980,3.9870
cuda,repvgg_a2,128,1,1,231,231,1.0000,0.9973,4.7804
cuda,res2net101_26w_4s,128,1,1,842,842,1.0000,0.9994,5.4858
cuda,res2net50_14w_8s,128,1,1,721,721,1.0000,0.9993,3.6511
cuda,res2next50,128,1,1,417,417,1.0000,0.9988,2.0059
cuda,resmlp_12_224,128,1,1,183,183,1.0000,0.9957,0.7881
cuda,resnest101e,64,1,1,992,992,1.0000,0.9994,7.5592
cuda,resnet18,128,1,1,90,90,1.0000,0.9951,0.4069
cuda,rexnet_100,128,1,1,367,367,1.0000,0.9980,4.7517
cuda,sebotnet33ts_256,128,1,1,399,399,1.0000,0.9983,4.0324
cuda,selecsls42b,128,1,1,174,174,1.0000,0.9970,0.5644
cuda,spnasnet_100,128,1,1,253,253,1.0000,0.9976,4.4036
cuda,swin_base_patch4_window7_224,64,1,1,1350,1350,1.0000,0.9990,9.6675
cuda,swsl_resnext101_32x16d,32,1,1,450,451,0.9978,0.9988,2.2474
cuda,tf_efficientnet_b0,128,1,1,294,294,1.0000,0.9984,4.2151
cuda,tf_mixnet_l,128,1,1,489,489,1.0000,0.9989,15.2418
cuda,tinynet_a,128,1,1,343,343,1.0000,0.9984,4.7177
cuda,tnt_s_patch16_224,128,1,1,812,812,1.0000,0.9987,3.5985
cuda,twins_pcpvt_base,128,1,1,1058,1058,1.0000,0.9989,5.6734
cuda,visformer_small,128,1,1,301,302,0.9967,0.9979,1.1319
cuda,vit_base_patch16_224,128,1,1,301,301,1.0000,0.9970,1.1709
cuda,volo_d1_224,128,1,1,559,559,1.0000,0.9991,2.7250
cuda,xcit_large_24_p8_224,11,1,1,1293,1293,1.0000,0.9992,6.2499
