,Compiler,torchbench,huggingface,timm_models
eager,eager,"97%, 57/59","100%, 45/45","100%, 61/61"
aot_eager,aot_eager,"95%, 56/59","100%, 45/45","93%, 57/61"
inductor,inductor,"86%, 51/59","91%, 41/45","93%, 57/61"
inductor_no_cudagraphs,inductor_no_cudagraphs,"85%, 50/59","96%, 43/45","93%, 57/61"
