dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForQuestionAnswering,4,12.397131,10.789890,4.664552,1.680309,9.195193,3.295215,1.152078,0.145330,1.119412,1.052519,7.417041
cuda,BartForCausalLM,4,19.311392,15.673910,7.096339,2.040937,10.241989,3.690368,1.576816,0.279162,1.385766,1.502905,6.679382
cuda,BartForConditionalGeneration,2,46.892088,38.311479,17.448045,6.111880,22.005189,9.474865,3.892652,1.036328,0.871644,1.289882,11.812968
cuda,BertForMaskedLM,16,19.514445,15.903425,6.695687,2.295305,9.453753,3.823715,1.618063,0.288931,1.914061,2.104605,7.078917
cuda,BertForQuestionAnswering,16,19.678957,16.002429,6.713777,2.304657,9.441440,3.783412,1.620490,0.285297,1.627642,1.657761,6.770579
cuda,BlenderbotSmallForCausalLM,64,12.346595,10.124018,4.452594,1.498121,6.563667,2.248937,1.088023,0.174757,2.400833,6.081736,2.090193
cuda,BlenderbotSmallForConditionalGeneration,64,30.785115,25.091227,10.969441,3.341244,14.883533,6.666117,2.683294,0.579850,2.078428,1.845250,9.515969
cuda,CamemBert,16,19.559889,15.911439,6.577504,2.291329,9.272226,3.813998,1.622834,0.290331,0.831938,0.959659,5.928822
cuda,DebertaForMaskedLM,4,33.528530,25.881859,14.805092,2.853150,18.586075,4.747113,2.278521,0.363463,15.420965,2.361871,22.318122
cuda,DebertaForQuestionAnswering,8,33.726606,25.986983,14.765509,2.802008,18.697278,4.703154,2.252313,0.358839,16.237833,2.810808,23.231522
cuda,DebertaV2ForMaskedLM,1,47.103016,33.930880,17.462311,3.944844,20.370059,5.476530,2.921162,0.640953,33.678177,1.810226,40.963745
cuda,DistilBertForMaskedLM,128,11.410014,9.835157,5.143397,1.096335,7.021975,2.090387,0.870237,0.130459,1.514939,3.762374,4.548418
cuda,DistilBertForQuestionAnswering,256,11.578732,9.969166,5.132617,1.091069,7.159159,2.132753,0.877518,0.126861,0.916895,2.933789,4.092161
cuda,DistillGPT2,16,13.422935,11.665353,6.334328,1.189814,8.197051,1.911754,1.060932,0.113214,1.600313,2.911320,4.703699
cuda,ElectraForCausalLM,32,21.167508,17.502395,8.211789,2.076753,14.276657,3.934450,1.652790,0.286221,3.658064,3.848021,11.914587
cuda,ElectraForQuestionAnswering,64,19.947661,16.156514,6.746029,2.324299,11.793556,3.872867,1.628183,0.296810,2.389311,2.318858,9.874335
cuda,GPT2ForSequenceClassification,4,21.670323,18.076031,8.347713,2.347063,10.919737,3.659976,1.908935,0.254679,1.379369,2.423874,6.400504
cuda,GoogleFnet,16,13.197890,11.249163,6.936633,1.209593,10.711995,1.910037,0.835166,0.127796,3.828793,1.795706,8.892938
cuda,LayoutLMForMaskedLM,16,21.798934,17.726145,7.946134,2.184729,10.907950,3.918715,1.665386,0.295451,1.966691,2.495046,7.422824
cuda,LayoutLMForSequenceClassification,16,22.496161,18.339640,8.117373,2.430532,12.771370,4.861661,1.963062,0.291080,6.972457,7.447248,14.173141
cuda,M2M100ForConditionalGeneration,16,47.301628,38.424485,15.750067,5.085803,21.906514,8.751898,3.980770,0.784604,3.806732,8.689570,15.589023
cuda,MBartForCausalLM,4,20.259901,16.970322,8.682925,2.055715,11.823549,3.720935,1.617228,0.284544,1.381055,1.346895,6.684610
cuda,MBartForConditionalGeneration,2,46.275516,37.757826,16.796094,6.209340,21.484567,9.708276,4.035254,1.085518,0.841752,0.521854,12.017504
cuda,MT5ForConditionalGeneration,16,34.592572,28.690760,10.882196,3.680920,15.443727,6.584404,2.487220,0.534490,4.058104,22.386513,12.491954
cuda,MegatronBertForCausalLM,4,37.603101,30.317663,11.974092,4.429285,16.657386,8.309789,3.223329,0.730119,1.057746,1.635072,10.389988
cuda,MegatronBertForQuestionAnswering,8,37.664866,30.358087,11.941423,4.373157,16.774369,8.192027,3.173722,0.735958,1.601785,1.559624,11.025254
cuda,MobileBertForMaskedLM,64,39.215874,31.791159,8.501673,5.646950,21.326459,10.234865,4.673960,2.607615,3.061444,3.961812,21.865968
cuda,MobileBertForQuestionAnswering,128,39.286754,31.836303,8.363575,5.549651,21.228863,10.125259,4.653682,2.597271,2.775771,2.326794,21.522111
cuda,OPTForCausalLM,2,18.470290,15.411473,7.227586,1.983546,10.166623,3.864062,1.903169,0.275136,1.490530,1.823763,6.516342
cuda,PLBartForCausalLM,8,11.740864,9.976625,5.074503,1.084565,7.257058,1.824580,0.866705,0.128111,1.084497,1.208237,4.408141
cuda,PLBartForConditionalGeneration,4,25.350372,20.927710,8.725958,2.999462,12.606373,4.983586,2.159429,0.423059,1.658587,1.698259,8.683591
cuda,PegasusForCausalLM,32,18.900103,15.545096,7.450998,1.995878,10.989405,3.681847,1.607196,0.279034,1.723689,1.571950,7.367312
cuda,PegasusForConditionalGeneration,32,34.804801,30.571023,11.510342,3.925476,17.778701,7.870454,3.339530,0.713557,1.961274,0.650178,12.377753
cuda,RobertaForCausalLM,16,19.737486,16.081059,6.715588,2.325572,9.198608,3.902937,1.642996,0.290510,0.806946,1.330760,5.727559
cuda,RobertaForQuestionAnswering,16,19.867888,16.129537,6.721136,2.308576,9.116727,3.842142,1.619684,0.286723,0.542140,0.632365,5.359080
cuda,Speech2Text2ForCausalLM,256,11.622013,9.871322,5.694623,0.929189,8.386649,1.661046,0.968107,0.124114,1.286600,1.093460,4.962265
cuda,T5ForConditionalGeneration,4,25.613411,21.373097,8.472293,2.262550,11.859707,4.644116,1.802659,0.340419,2.474015,7.083004,8.253098
cuda,T5Small,4,25.754559,21.459136,8.504179,2.302053,11.880012,4.752911,1.819488,0.341866,2.437455,7.229212,8.246115
cuda,XGLMForCausalLM,8,39.665574,32.958074,14.771678,4.891400,20.319450,8.978508,3.324800,0.801393,3.925908,21.585309,14.590026
cuda,XLNetLMHeadModel,8,55.312606,47.140492,19.575674,7.651273,24.263439,13.549930,3.780587,0.933587,10.388909,12.936819
cuda,YituTechConvBert,16,30.539739,24.925669,10.209445,4.489560,15.158604,6.059829,2.407234,0.489124,6.108063,8.997511,15.713944
