dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.261516,3.777222,2.102965,8.387920,3.049935,1.141469,0.144574,1.336438,8.141037,0.808216
cuda,AlbertForQuestionAnswering,4,2.259129,3.768954,2.062479,8.449449,3.036797,1.136041,0.139915,0.939957,7.771784,0.413527
cuda,BartForCausalLM,4,2.304308,6.337936,2.383770,9.472692,3.571987,1.393608,0.262866,2.081875,2.259676,7.705237
cuda,BartForConditionalGeneration,2,6.458024,13.660904,5.574105,20.032447,9.089498,3.491450,1.030553,0.968936,1.136973,13.187254
cuda,BertForMaskedLM,16,2.844817,5.543854,2.640434,8.258892,3.627943,1.540288,0.294577,1.797325,7.263783,1.447003
cuda,BertForQuestionAnswering,16,2.861459,5.265992,2.582926,7.795922,3.560915,1.532120,0.288508,1.378439,6.600746,1.012813
cuda,BlenderbotSmallForCausalLM,64,1.581268,3.816352,1.607159,6.164045,2.404053,1.024538,0.166963,3.031001,7.057269,2.795088
cuda,BlenderbotSmallForConditionalGeneration,64,4.252824,8.715969,3.673708,13.746800,6.448267,2.509092,0.585159,2.153099,1.885934,11.055611
cuda,CamemBert,16,3.062733,5.441466,2.677780,8.073235,3.623085,1.541887,0.292066,0.706384,6.131552,0.326758
cuda,DebertaForMaskedLM,4,7.297819,15.488813,3.481199,19.628154,5.169324,2.465158,0.346732,18.086570,0.937161,25.966979
cuda,DebertaForQuestionAnswering,8,7.654690,15.573169,3.440253,19.748606,5.139688,2.427722,0.345747,23.499048,1.818636,31.399265
cuda,DebertaV2ForMaskedLM,1,12.374649,18.234364,4.613041,23.510077,6.162261,3.204238,0.596768,39.256932,1.475454,49.573084
cuda,DebertaV2ForQuestionAnswering,2,12.648872,17.978854,5.276815,23.427937,7.384977,3.656813,0.598523,36.734218,0.554328,47.885467
cuda,DistilBertForMaskedLM,128,1.201660,3.277724,1.276677,5.238058,1.820029,0.829047,0.125569,1.419235,4.714344,1.145119
cuda,DistilBertForQuestionAnswering,256,1.260445,3.406282,1.245094,5.220502,1.831640,0.843544,0.119553,0.820127,4.110878,0.547065
cuda,DistillGPT2,16,1.318947,4.097532,1.074687,6.208034,1.933506,0.808594,0.110116,2.165563,2.332503,5.398973
cuda,ElectraForCausalLM,32,2.946420,7.033627,2.627931,10.545875,3.681273,1.570016,0.291564,3.186083,2.554686,9.440410
cuda,ElectraForQuestionAnswering,64,3.033227,5.365868,2.620672,7.978075,3.650759,1.550106,0.291666,1.695174,7.039833,1.318079
cuda,GPT2ForSequenceClassification,4,2.860543,5.077945,2.102636,8.241387,3.702579,1.445788,0.257397,1.957052,7.325519,1.381744
cuda,LayoutLMForMaskedLM,16,3.498603,5.410142,2.735778,8.118798,3.713501,1.569986,0.305604,1.794314,7.352777,1.434844
cuda,LayoutLMForSequenceClassification,16,3.239568,5.613735,2.741132,9.510465,4.380905,1.798310,0.290643,6.367705,13.120919,5.992237
cuda,M2M100ForConditionalGeneration,16,6.540838,12.872759,4.733572,22.163287,8.683805,3.835583,0.882263,4.822963,12.276778,19.101344
cuda,MBartForCausalLM,4,2.364846,6.692630,2.544037,10.091945,3.762460,1.465553,0.290186,2.202123,2.280567,8.253943
cuda,MBartForConditionalGeneration,2,6.866101,12.934747,5.808751,20.277664,9.608311,3.642011,1.121728,0.964643,0.634783,14.404996
cuda,MT5ForConditionalGeneration,16,5.398175,9.407789,3.737099,15.869884,6.612172,2.202443,0.486591,4.365213,19.691870,14.752102
cuda,MegatronBertForCausalLM,4,5.711557,10.021008,5.370919,15.157874,7.528569,3.464673,0.844373,1.078514,11.811209,0.393624
cuda,MegatronBertForQuestionAnswering,8,5.621588,9.970987,5.313595,14.941366,7.781674,2.973037,0.832867,1.224094,11.734566,0.488908
cuda,MobileBertForMaskedLM,64,13.460605,10.737076,6.283944,25.079843,14.142107,5.057350,2.956786,3.025244,24.040891,1.690630
cuda,MobileBertForQuestionAnswering,128,13.643663,10.771899,7.134975,25.986226,14.183999,5.621686,3.291153,2.619290,25.759455,1.000849
cuda,OPTForCausalLM,2,2.423774,5.788295,1.952203,9.365507,3.880486,1.573046,0.269422,2.379059,2.331236,8.002734
cuda,PLBartForCausalLM,8,1.259717,4.618052,1.437588,6.692671,1.738297,0.804735,0.116937,1.357620,1.527839,4.926345
cuda,PLBartForConditionalGeneration,4,3.511412,7.757868,3.139513,12.220850,5.016927,2.000735,0.404722,2.660871,2.702726,10.408594
cuda,PegasusForCausalLM,32,2.451966,6.868382,2.550385,10.872679,3.829636,1.550106,0.293625,2.714234,2.450195,9.380319
cuda,PegasusForConditionalGeneration,32,6.226074,12.462507,5.669301,20.387537,8.957210,3.752238,0.822729,2.392769,0.658003,16.261289
cuda,RobertaForCausalLM,16,2.897859,6.206451,2.731662,8.703368,3.781411,1.596861,0.323046,0.721334,0.717495,6.063631
cuda,RobertaForQuestionAnswering,16,2.901151,5.361428,2.581572,7.589821,3.585080,1.525261,0.285262,0.393506,5.314390
cuda,Speech2Text2ForCausalLM,256,1.287032,5.381980,0.881327,7.947536,1.742759,0.747879,0.112494,1.623951,1.347695,5.121748
cuda,T5ForConditionalGeneration,4,3.557467,7.216498,2.288644,11.373008,4.564441,1.595859,0.294846,3.044306,6.429732,9.615265
cuda,T5Small,4,3.606860,7.143419,2.305643,11.282950,4.586288,1.600200,0.297718,2.922367,6.281934,9.494913
cuda,TrOCRForCausalLM,32,2.314729,6.285048,2.423517,9.747557,3.706568,1.498961,0.278638,1.327871,1.335387,7.319366
cuda,XGLMForCausalLM,8,4.915039,11.933964,5.790132,18.459337,8.025449,3.018274,0.787819,5.015512,32.818387,17.567469
cuda,XLNetLMHeadModel,8,6.696684,107.036242,6.362281,113.605501,10.574825,97.056654,0.923431,7.972406,13.664828
