dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,3.069760,14.395450,4.790260,23.804013,11.404737,4.525845,0.621303,55.869042,14.660116
cuda,beit_base_patch16_224,64,1.977276,6.350049,2.193454,9.972570,3.887650,1.589476,0.244669,1.786961,5.908169
cuda,botnet26t_256,128,1.895891,11.417740,2.583569,17.242355,7.622818,2.889059,0.175050,30.499028,8.480876
cuda,cait_m36_384,4,6.313234,14.365835,8.103425,26.996294,15.170778,5.750231,1.841818,7.139188,21.093653
cuda,coat_lite_mini,128,1.782257,7.764382,2.664650,16.277673,7.465204,2.491805,0.222123,45.282488,11.273358
cuda,convit_base,64,1.968765,6.592590,2.926990,13.228553,5.817385,2.238181,0.277887,6.004009,9.681190
cuda,convmixer_768_32,32,2.254188,6.938037,3.711046,11.265449,4.242320,2.357340,0.343305,6.901026,8.158721
cuda,convnext_base,64,2.619356,9.180725,5.569480,18.278942,9.182149,3.225894,0.529468,32.277526,14.833984
cuda,crossvit_9_240,128,2.960329,9.035613,3.725247,15.500742,7.628406,2.726412,0.400719,9.108207,10.347130
cuda,cspdarknet53,64,3.811232,9.323418,3.432943,15.352855,6.095569,2.659495,0.418163,53.888314,9.605068
cuda,deit_base_distilled_patch16_224,64,1.587318,5.331731,2.049217,11.892548,3.937267,1.521642,0.220045,2.614335,8.697095
cuda,dla102,128,3.505661,13.672667,5.862915,21.709655,9.470946,3.840273,0.719723,47.010525,14.097088
cuda,dm_nfnet_f0,128,3.101027,10.094720,6.781579,16.296112,7.586119,2.479695,0.300583,29.187390,13.173234
cuda,dpn107,32,6.196118,14.510216,5.556826,26.093122,11.546732,4.652267,0.660040,78.476014,17.386402
cuda,eca_botnext26ts_256,128,2.055758,12.371304,3.072843,18.663892,8.209904,2.829728,0.188908,30.465852,9.455664
cuda,ese_vovnet19b_dw,128,1.353450,7.420097,1.580559,12.699718,4.800319,1.701997,0.145438,34.573583,6.914210
cuda,fbnetc_100,128,3.177830,10.474476,3.807368,16.522010,6.399498,2.526038,0.372743,61.749167,9.973569
cuda,fbnetv3_b,128,5.527318,14.676781,5.721019,23.698302,10.940742,4.052604,0.838752,65.247252,14.962014
cuda,gernet_l,128,3.194579,7.840238,2.866828,12.394302,4.300894,1.926153,0.306279,25.152119,7.899713
cuda,ghostnet_100,128,4.504883,14.026585,4.916557,25.469690,11.327585,4.309487,0.547196,148.662316,16.784544
cuda,gluon_inception_v3,128,2.993886,14.237853,5.066541,23.715194,11.125922,4.834870,0.628818,55.232301,14.717281
cuda,gluon_xception65,32,3.978493,13.476185,6.024578,20.473103,8.872670,3.834877,0.946061,28.318761,13.252032
cuda,gmixer_24_224,128,2.695870,7.074328,2.771933,12.717053,5.493139,2.342860,0.380655,10.084782,8.544391
cuda,gmlp_s16_224,128,2.367113,11.000136,4.723799,16.926676,8.586998,3.056400,0.436404,10.206701,11.190969
cuda,hrnet_w18,128,11.582983,41.938044,21.287400,59.403317,33.941915,10.509722,4.913547,69.965928,39.364616
cuda,inception_v3,128,3.026727,14.293282,4.784319,23.862637,11.503700,4.537048,0.622523,56.245589,14.794687
cuda,jx_nest_base,32,3.269558,12.549806,5.639948,23.618040,12.326681,4.273505,0.669427,22.451527,16.901463
cuda,lcnet_050,128,1.521195,6.860841,1.885371,10.968294,4.118585,1.443319,0.152077,32.839972,6.063699
cuda,mixer_b16_224,128,1.190026,5.984836,2.687349,8.462220,2.776230,1.085396,0.144264,7.352349,5.248300
cuda,mixnet_l,128,4.770844,13.428155,3.952818,21.486284,8.880154,3.969771,0.610439,59.885248,12.178813
cuda,mnasnet_100,128,2.494725,8.722754,2.525239,13.684755,5.210363,2.010928,0.270045,46.103318,7.887725
cuda,mobilenetv2_100,128,2.582376,9.131200,2.528944,14.115596,5.324164,2.323153,0.294809,48.203199,7.615509
cuda,mobilenetv3_large_100,128,2.530995,9.696522,2.813356,16.105995,6.236586,2.302040,0.297550,55.215615,9.335245
cuda,mobilevit_s,64,3.231744,21.590276,5.360224,40.390462,23.032438,10.213796,0.394517,60.008080,24.286607
cuda,nfnet_l0,128,2.773053,7.649801,2.913240,13.085397,5.378711,2.054585,0.292877,22.783128,8.696177
cuda,pit_b_224,64,1.909865,6.221592,2.529160,10.581048,4.403590,1.737072,0.236652,3.364078,6.983925
cuda,pnasnet5large,16,8.684173,30.400463,11.879012,47.265323,23.853033,10.205902,3.340250,96.631149,29.167519
cuda,poolformer_m36,64,2.728666,17.133281,8.064212,32.383489,16.752630,5.470092,0.774369,25.904057,23.564267
cuda,regnety_002,128,2.518493,7.929016,2.764390,13.525481,4.842968,2.333556,0.283312,42.169527,8.460285
cuda,repvgg_a2,128,3.222596,7.858526,2.915515,11.844676,4.078799,1.584599,0.243455,11.974839,6.998828
cuda,res2net101_26w_4s,64,6.118145,21.453726,9.259424,33.036313,16.812069,6.825314,1.813631,65.159437,21.167969
cuda,res2net50_14w_8s,128,5.278798,19.416837,7.886707,32.535236,15.871175,6.012157,1.364084,131.156734,21.289504
cuda,res2next50,128,2.943345,12.610118,4.294255,20.701383,8.763567,3.685121,0.582481,43.546127,12.904807
cuda,resmlp_12_224,128,1.042717,4.186250,1.499985,10.753593,2.747145,1.094419,0.131931,6.967848,8.128400
cuda,resnest101e,64,6.229645,16.908407,7.876809,29.516058,14.556844,6.431257,1.312253,49.201736,20.788414
cuda,rexnet_100,128,3.161511,12.003079,4.093800,20.360742,8.157949,3.379773,0.368700,85.654118,12.590822
cuda,sebotnet33ts_256,64,2.599831,13.869857,4.235292,22.259080,10.345487,4.056470,0.272260,42.808499,12.732663
cuda,selecsls42b,128,1.310766,7.305682,2.390835,12.646364,5.017485,2.017725,0.191874,30.824227,7.808093
cuda,spnasnet_100,128,3.317805,10.179860,3.371243,15.890177,6.433357,2.461067,0.355531,54.991261,9.199013
cuda,swin_base_patch4_window7_224,64,5.295334,16.462159,5.919930,29.997375,15.806952,5.917807,0.643109,24.293833,19.695620
cuda,swsl_resnext101_32x16d,32,3.397202,12.085126,5.456292,18.157564,7.398828,3.202172,0.655299,30.908642,11.718969
cuda,tf_efficientnet_b0,128,2.935385,10.083656,3.708671,17.109159,7.033006,2.761500,0.349511,50.097670,10.859701
cuda,tf_mixnet_l,128,5.173100,13.858559,3.968633,22.673289,9.167027,4.977989,0.610606,59.162083,12.951221
cuda,tinynet_a,128,3.584490,11.129645,4.011133,18.330054,7.932424,3.152592,0.449142,66.899721,11.370362
cuda,tnt_s_patch16_224,128,3.462859,9.912810,5.137774,16.867650,8.536919,3.138783,0.651115,2.873922,12.292243
cuda,twins_pcpvt_base,64,5.256373,13.655237,7.840502,25.180211,13.314132,4.781317,1.229669,64.313462,19.663053
cuda,visformer_small,128,1.487006,8.927636,3.447013,13.140002,4.948103,2.016853,0.225387,35.272214,7.761268
cuda,vit_base_patch16_224,64,1.568184,5.283527,2.037731,11.200521,3.450377,1.398883,0.211116,2.755168,8.039680
cuda,volo_d1_224,64,2.484148,10.578681,4.908513,17.081096,8.771601,3.125078,0.441345,7.438897,11.579277
cuda,xcit_large_24_p8_224,5,5.814307,17.721079,10.926862,29.016928,16.624858,6.089573,1.661575,15.111653,22.604928
