dev,name,batch_size,total_aot_graphs,ok_aot_graphs
cuda,beit_base_patch16_224,64,1,0
cuda,botnet26t_256,128,1,0
cuda,cait_m36_384,2,1,0
cuda,coat_lite_mini,128,1,0
cuda,convit_base,32,26,25
cuda,convmixer_768_32,32,1,1
cuda,convnext_base,32,1,0
cuda,crossvit_9_240,64,1,0
cuda,cspdarknet53,64,1,0
cuda,deit_base_distilled_patch16_224,64,1,0
cuda,densenet121,64,1,0
cuda,dm_nfnet_f0,128,1,0
cuda,dpn107,32,1,0
cuda,eca_botnext26ts_256,128,1,0
cuda,eca_halonext26ts,128,1,0
cuda,ecaresnet101d,64,1,0
cuda,ese_vovnet19b_dw,128,1,0
cuda,fbnetv3_b,128,1,0
cuda,gernet_l,128,1,0
cuda,ghostnet_100,128,1,0
cuda,gluon_senet154,32,1,0
cuda,gluon_xception65,32,1,1
cuda,gmixer_24_224,64,1,0
cuda,gmlp_s16_224,64,1,0
cuda,hardcorenas_a,128,1,0
cuda,jx_nest_base,64,1,0
cuda,lcnet_050,128,1,0
cuda,legacy_senet154,32,1,1
cuda,mixer_b16_224,64,1,0
cuda,mixnet_l,64,1,0
cuda,mnasnet_100,128,1,0
cuda,mobilenetv2_100,128,1,0
cuda,mobilenetv3_large_100,128,1,0
cuda,mobilevit_s,64,1,0
cuda,nasnetalarge,16,1,0
cuda,nfnet_l0,128,1,0
cuda,pit_b_224,64,1,0
cuda,pnasnet5large,16,1,0
cuda,poolformer_m36,64,1,0
cuda,regnety_002,128,1,0
cuda,repvgg_a2,128,1,0
cuda,res2net101_26w_4s,64,1,1
cuda,res2net50_14w_8s,128,1,1
cuda,res2next50,128,1,1
cuda,resmlp_12_224,128,1,0
cuda,resnest101e,32,1,0
cuda,resnet18,128,1,0
cuda,rexnet_100,128,1,0
cuda,sebotnet33ts_256,64,1,0
cuda,selecsls42b,128,1,1
cuda,swin_base_patch4_window7_224,64,1,0
cuda,swsl_resnext101_32x16d,32,1,0
cuda,tf_efficientnet_b0,128,1,0
cuda,tf_mixnet_l,64,1,0
cuda,tinynet_a,128,1,0
cuda,tnt_s_patch16_224,64,1,0
cuda,twins_pcpvt_base,32,1,0
cuda,vit_base_patch16_224,64,1,0
cuda,volo_d1_224,64,1,0
cuda,xcit_large_24_p8_224,5,1,0
