dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,39.856911,33.923352,30.634950,17.325679,5.304960,27.000660,9.692733,5.024123,0.580678,99.705530,15.349681
cuda,beit_base_patch16_224,64,22.307242,17.787685,14.321549,8.320003,1.672899,13.452656,3.923264,2.040087,0.266220,3.250380,6.968219
cuda,botnet26t_256,128,25.374004,22.286941,18.876438,13.736720,2.389258,21.436972,6.359980,2.708873,0.141931,51.256456,10.235679
cuda,cait_m36_384,4,61.696208,45.951980,42.431562,18.311448,6.663934,34.755421,15.416303,7.589050,2.278485,19.302733,23.732002
cuda,coat_lite_mini,128,26.971460,23.475148,20.055064,13.777133,2.357694,26.795197,8.081722,3.144341,0.232251,43.662484,15.533406
cuda,convit_base,64,24.333683,20.108434,16.668144,9.669340,2.127198,19.228851,5.596351,2.459496,0.286655,8.902704,11.878854
cuda,convmixer_768_32,32,21.336728,19.635953,16.226678,6.767987,3.085204,11.189284,3.616810,2.091744,0.313386,7.765237,2.928648
cuda,convnext_base,64,28.625881,21.777585,18.489906,9.714085,3.666092,18.665283,5.561032,3.101046,0.508511,13.042231,12.856873
cuda,crossvit_9_240,128,31.545014,25.820345,22.394653,12.211578,3.604903,25.746737,7.521842,3.614774,0.459137,33.418651,17.405764
cuda,cspdarknet53,64,31.287457,25.138743,21.769717,11.906387,4.324511,18.021887,4.502332,2.936279,0.334806,55.650765,10.727412
cuda,deit_base_distilled_patch16_224,64,20.519934,16.968577,13.518705,8.134875,1.583913,20.930148,4.030924,1.893341,0.233851,3.831922,14.523726
cuda,dla102,128,39.225282,32.116966,28.745543,14.679566,5.086678,22.105858,7.815553,3.794817,0.559456,40.175455,12.919909
cuda,dm_nfnet_f0,128,28.795153,22.077446,18.551590,8.557836,3.847949,16.674283,5.170927,2.310764,0.280345,28.527402,12.219441
cuda,dpn107,32,47.717416,37.495064,34.123140,17.422514,5.996699,26.508364,7.507410,4.735152,0.564926,29.275115,15.854115
cuda,eca_botnext26ts_256,128,26.615302,23.088210,19.728151,14.086998,2.904347,21.428842,6.382580,2.518794,0.160776,58.335393,10.413911
cuda,ese_vovnet19b_dw,128,18.272520,15.736277,12.383230,8.913698,1.597209,14.275793,3.432263,1.605060,0.119346,50.576233,7.302414
