,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.02x,1.00x
aot_eager,aot_eager,1.01x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.02x,1.00x,1.00x
aot_nvfuser,aot_nvfuser,1.12x,1.12x,1.12x
inductor,inductor,1.36x,1.52x,1.27x
