dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,8,pass,317,1,7,5
cuda,beit_base_patch16_224,8,pass,472,1,7,5
cuda,botnet26t_256,8,pass,340,1,9,5
cuda,cait_m36_384,4,pass,1345,1,7,5
cuda,coat_lite_mini,8,pass,463,1,7,5
cuda,convit_base,8,pass,893,56,23,6
cuda,convmixer_768_32,8,pass,234,1,4,3
cuda,convnext_base,8,pass,498,1,7,5
cuda,crossvit_9_240,8,pass,603,1,7,5
cuda,cspdarknet53,8,pass,442,1,9,5
cuda,deit_base_distilled_patch16_224,8,fail_to_run,380,1,4,3
cuda,dla102,8,pass,419,1,7,5
cuda,dm_nfnet_f0,8,pass,619,1,7,5
cuda,dpn107,8,pass,746,1,9,5
cuda,eca_botnext26ts_256,8,pass,370,1,9,5
cuda,ese_vovnet19b_dw,8,pass,160,1,9,5
cuda,fbnetc_100,8,pass,383,1,9,5
cuda,fbnetv3_b,8,fail_accuracy,610,1,9,5
cuda,gernet_l,8,pass,409,1,9,5
cuda,ghostnet_100,8,pass,328,1,9,5
cuda,gluon_inception_v3,8,pass,317,1,7,5
cuda,gluon_xception65,8,fail_accuracy,356,1,7,5
cuda,gmixer_24_224,8,pass,635,1,7,5
cuda,gmlp_s16_224,8,pass,491,1,7,5
cuda,hrnet_w18,8,pass,1373,1,4,3
cuda,inception_v3,8,pass,317,1,7,5
cuda,jx_nest_base,8,pass,862,1,7,5
cuda,lcnet_050,8,pass,168,1,9,5
cuda,mixer_b16_224,8,pass,227,1,7,5
cuda,mixnet_l,8,pass,677,1,9,5
cuda,mnasnet_100,8,pass,304,1,9,5
cuda,mobilenetv2_100,8,fail_accuracy,304,1,9,5
cuda,mobilenetv3_large_100,8,pass,315,1,9,5
cuda,mobilevit_s,8,pass,519,1,9,5
cuda,nfnet_l0,8,pass,550,1,7,5
cuda,pit_b_224,8,pass,426,1,7,5
cuda,pnasnet5large,8,pass,958,1,6,3
cuda,poolformer_m36,8,pass,699,1,7,5
cuda,regnety_002,8,pass,368,1,9,5
cuda,repvgg_a2,8,pass,397,1,9,5
cuda,res2net101_26w_4s,8,pass,807,1,7,5
cuda,res2net50_14w_8s,8,pass,703,1,7,5
cuda,res2next50,8,pass,399,1,7,5
cuda,resmlp_12_224,8,pass,203,1,7,5
cuda,resnest101e,8,pass,1022,1,7,5
cuda,rexnet_100,8,pass,404,1,9,5
cuda,sebotnet33ts_256,8,pass,464,1,9,5
cuda,selecsls42b,8,pass,136,1,7,5
cuda,spnasnet_100,8,pass,376,1,9,5
cuda,swin_base_patch4_window7_224,8,pass,1382,1,7,5
cuda,swsl_resnext101_32x16d,8,pass,415,1,7,5
cuda,tf_efficientnet_b0,8,pass,371,1,9,5
cuda,tf_mixnet_l,8,pass,692,1,9,5
cuda,tinynet_a,8,pass,435,1,9,5
cuda,tnt_s_patch16_224,8,pass,826,1,7,5
cuda,twins_pcpvt_base,8,pass,1022,1,7,5
cuda,visformer_small,8,pass,317,1,7,5
cuda,vit_base_patch16_224,8,pass,377,1,7,5
cuda,volo_d1_224,8,pass,618,1,7,5
cuda,xcit_large_24_p8_224,8,fail_accuracy,1195,1,7,5
