dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,soft_actor_critic,256,4.765500,4.336925,1.898293,1.640013,0.064295,2.939548,0.078222,0.058228,0.007399,0.223692,1.595208
cuda,speech_transformer,32,34.399173,28.329987,25.036200,15.186934,3.239259,23.530888,5.271535,2.784014,0.353666,0.002824,26.142155,11.848161
cuda,squeezenet1_1,32,9.246115,8.184400,4.079137,3.034952,0.421843,7.572876,1.449786,0.761357,0.047091,9.049227,14.035340,8.877789
cuda,timm_efficientnet,32,27.983114,23.187199,20.459230,11.854874,3.348736,18.907834,5.195667,2.523589,0.310256,62.923578,101.154776,73.571350
cuda,timm_nfnet,128,26.235471,20.271248,17.367997,8.234417,3.760945,15.704373,5.275882,2.556716,0.294530,22.633260,28.358349,34.114197
cuda,timm_regnet,32,28.565317,21.989647,19.190153,9.429946,3.364586,15.085334,4.885649,2.442122,0.362160,25.757632,30.813548,35.051608
cuda,timm_resnest,32,16.675101,14.846285,12.135632,8.572302,1.402035,14.448484,3.366920,1.642545,0.104758,44.676197,73.459692,52.054140
cuda,timm_vision_transformer,32,18.608800,15.424649,12.636793,7.148911,1.652272,18.113071,3.356396,1.839065,0.241127,9.578567,15.471771,22.337148
cuda,timm_vovnet,32,19.486068,16.006270,13.286276,8.079738,1.983116,14.093601,4.084018,1.936507,0.159015,15.162316,30.236979,23.310561
cuda,tts_angular,64,4.134668,3.682153,1.233809,1.101887,0.050020,1.927109,0.027925,0.019549,0.001883,0.103492,0.982774
cuda,vgg16,64,6.320761,5.604197,2.970991,2.213791,0.245493,5.322908,0.941621,0.451224,0.027322,4.351525,7.723254,4.176878
cuda,yolov3,16,33.035514,28.204769,25.473058,14.512387,4.234052,21.974448,7.185275,3.300140,0.360181,32.272021,69.709806,44.282421
