dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,swin_base_patch4_window7_224,64,38.339807,33.153675,30.310111,17.656660,4.065235,33.755441,12.467534,5.970312,0.639779,36.246544,20.494118
cuda,swsl_resnext101_32x16d,32,30.846351,27.195765,24.214406,10.963424,4.471610,16.013036,5.466618,2.647759,0.472700,10.737292,9.890139
cuda,tf_efficientnet_b0,128,25.598959,22.408392,19.502722,11.878184,3.100371,19.194658,4.789618,2.678394,0.293912,109.745289,10.628809
cuda,tf_mixnet_l,128,33.905019,28.093372,25.236095,14.412894,4.018765,23.052799,6.355205,3.703787,0.508395,95.970402,12.956557
cuda,tinynet_a,128,29.191246,25.114388,22.182551,12.790006,3.344454,20.287063,5.724617,2.720568,0.376443,96.217485,11.345413
cuda,tnt_s_patch16_224,128,29.622129,25.468969,22.584679,10.871119,3.016704,20.356326,6.664732,3.244303,0.654024,12.431554,13.082974
cuda,twins_pcpvt_base,64,39.339915,33.059807,30.290684,16.300201,4.843596,29.330852,10.063079,4.636842,1.054490,58.160139,18.249978
cuda,visformer_small,128,19.040455,17.291574,14.477274,9.119741,2.007093,14.353123,2.885894,1.425062,0.180834,30.111318,7.630280
cuda,vit_base_patch16_224,64,16.508613,14.662529,11.951177,7.289262,1.453485,13.202459,2.406752,1.447813,0.193952,3.670353,7.491315
cuda,volo_d1_224,64,26.888950,23.509370,20.644750,12.233724,3.181406,21.463541,6.598244,3.406431,0.424820,22.276154,12.641382
cuda,xcit_large_24_p8_224,5,48.940789,41.107719,38.218672,18.742692,8.051659,34.352914,13.601924,6.875337,1.791763,34.646173,24.193729
