dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,13.746267,12.352236,5.995543,2.225258,8.031676,3.154152,1.295394,0.264622,8.145489,4.357329
cuda,Background_Matting,4,14.682010,13.756464,7.057309,2.682481,10.200065,5.459100,2.263142,0.260245,5.916775
cuda,LearningToPaint,96,6.260371,5.887044,3.209051,0.967954,4.015692,1.466502,0.578555,0.087909,1.810730
cuda,Super_SloMo,6,14.190919,13.101022,7.339591,2.640442,9.987651,5.256606,2.011227,0.115638,5.559122
cuda,alexnet,128,1.792731,1.718104,1.441705,0.189337,2.716088,0.813765,0.246967,0.012884,1.468440
cuda,attention_is_all_you_need_pytorch,256,29.570201,28.346401,21.362535,2.477641,23.382785,3.448260,1.507413,0.301291,9.017553,4.605809
cuda,dcgan,32,1.878537,1.793564,1.363847,0.174138,1.890950,0.172828,0.075149,0.011647,0.708105
cuda,demucs,4,0.228252
cuda,densenet121,4,36.518588,34.421029,17.820525,6.436611,22.759954,13.434906,4.162580,0.825231,11.618264
cuda,dlrm,1024,1.572596,1.405703,1.006546,0.151483,1.896908,0.335970,0.105866,0.014370,1.049098
cuda,drq,1,2.167019,2.003060,1.649257,0.112474,2.596608,0.113477,0.058480,0.012782,1.066610
cuda,fastNLP_Bert,6,15.596003,14.089428,8.021133,1.788442,11.384659,3.282901,1.337133,0.249384,4.228535,5.245437
cuda,functorch_dp_cifar10,64,5.272535,5.052932,2.831348,1.066550,5.448493,2.195308,0.614313,0.063955,3.722409,3.242935
cuda,hf_Albert,8,9.833847,8.586619,3.292684,1.704705,6.484234,2.966971,1.030102,0.138931,4.971921,3.145829
cuda,hf_Bart,4,18.835753,17.170646,9.280754,2.629069,13.261832,4.185971,1.723657,0.358089,3.585171,6.722993
cuda,hf_Bert,4,13.073545,11.610801,5.761805,1.768539,8.618579,3.086182,1.241050,0.242776,4.709298,0.371406
cuda,hf_Bert_large,4,26.072731,23.110375,11.614234,4.002894,15.383761,5.496212,2.382463,0.616251,7.940473,0.388144
cuda,hf_DistilBert,8,6.391411,5.795241,2.921586,0.924637,4.864744,1.557055,0.662318,0.112229,2.910015,1.848828
cuda,hf_GPT2,4,11.242299,9.725692,4.416397,1.806101,6.394645,2.476134,1.178049,0.213478,4.281167,1.863194
cuda,hf_GPT2_large,4,33.044943,28.215245,12.129817,6.383511,16.659984,8.973670,3.424165,1.029990,11.410247,1.281546
cuda,hf_Reformer,4,11.054869,9.051116,7.551234,0.701192,8.258068,1.068440,0.534697,0.048652,3.612791,1.442328
cuda,hf_T5,8,16.391657,14.153996,6.600558,2.025767,11.467114,3.819498,1.626373,0.284494,5.108394,7.006596
cuda,hf_T5_large,2,61.507711,50.129429,20.901092,8.501154,33.763311,18.081590,5.156240,2.210140,22.913470,21.792454
cuda,lennard_jones,1000,1.177162,1.113011,0.893390,0.059210,1.416312,0.043855,0.029407,0.005611,0.585841
