,Compiler,torchbench,huggingface,timm_models
eager,eager,3.27,4.33,3.89
aot_eager,aot_eager,8.13,11.88,11.44
inductor,inductor,30.07,39.88,42.90
inductor_no_cudagraphs,inductor_no_cudagraphs,31.00,35.12,41.66
