dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,BERT_pytorch,16,3.425619,0.001914
cuda,Background_Matting,4,2.688120,0.001591
cuda,LearningToPaint,96,1.039517,0.000602
cuda,Super_SloMo,6,2.109624,0.000906
cuda,alexnet,128,0.337098,0.000202
cuda,attention_is_all_you_need_pytorch,256,3.226340,0.001881
cuda,dcgan,32,0.310970,0.000180
cuda,demucs,4,0.963767,0.000774
cuda,densenet121,4,6.569476,0.003227
cuda,dlrm,1024,0.282176,0.000086
cuda,drq,1,0.491725,0.000273
cuda,fastNLP_Bert,6,3.635617,0.001993
cuda,functorch_dp_cifar10,64,0.898699,0.000618
cuda,hf_Albert,8,1.767440,0.000502
cuda,hf_Bart,4,4.795377,0.002394
cuda,hf_Bert,4,4.589431,0.002272
cuda,hf_Bert_large,4,9.670971,0.004030
cuda,hf_BigBird,2,10.188010,0.007404
cuda,hf_DistilBert,8,1.737177,0.001057
cuda,hf_GPT2,4,3.085057,0.001547
cuda,hf_GPT2_large,4,11.296783,0.004469
cuda,hf_Longformer,2,9.306405,0.008023
cuda,hf_Reformer,4,2.447399,0.001370
cuda,hf_T5,8,4.387799,0.001764
cuda,hf_T5_large,2,20.078542,0.005908
cuda,lennard_jones,1000,0.266898,0.000165
cuda,mnasnet1_0,32,2.377198,0.001400
cuda,mobilenet_v2,96,2.455691,0.001392
cuda,mobilenet_v2_quantized_qat,96,3.121684,0.001499
cuda,mobilenet_v3_large,32,2.672455,0.001680
cuda,moco,32,25.247502,0.685879
cuda,nvidia_deeprecommender,256,0.331975,0.000174
cuda,phlippe_densenet,128,2.484184,0.001478
cuda,phlippe_resnet,128,1.008409,0.000586
cuda,pytorch_CycleGAN_and_pix2pix,1,0.875134,0.000474
cuda,pytorch_stargan,16,0.923814,0.000513
cuda,pytorch_struct,200,0.507903,0.000306
cuda,pytorch_unet,1,1.203583,0.000710
cuda,resnet152,32,9.234467,0.004313
cuda,resnet18,16,1.002487,0.000567
cuda,resnet50,32,2.489213,0.001470
cuda,resnet50_quantized_qat,32,3.021503,0.001563
cuda,resnext50_32x4d,8,2.586998,0.001527
cuda,shufflenet_v2_x1_0,128,2.725876,0.001563
cuda,soft_actor_critic,256,0.308391,0.000159
cuda,speech_transformer,32,4.848620,0.003103
cuda,squeezenet1_1,32,0.731278,0.000522
cuda,timm_efficientdet,1,18.520277,0.007302
cuda,timm_efficientnet,32,4.204373,0.002780
cuda,timm_nfnet,128,4.711125,0.002293
cuda,timm_regnet,32,5.272340,0.003460
cuda,timm_resnest,32,1.388417,0.000775
cuda,timm_vision_transformer,8,2.334296,0.001446
cuda,timm_vision_transformer_large,8,9.812773,0.004770
cuda,timm_vovnet,32,2.535491,0.001765
cuda,tts_angular,64,0.301594,0.000196
cuda,vgg16,64,0.504802,0.000339
cuda,yolov3,16,4.242205,0.002053
