,Compiler,torchbench,huggingface,timm_models
eager,eager,0.96x,1.00x,0.99x
aot_eager,aot_eager,0.86x,0.91x,0.88x
aot_cudagraphs,aot_cudagraphs,0.39x,0.36x,0.32x
aot_nvfuser,aot_nvfuser,0.83x,1.08x,0.84x
inductor,inductor,0.82x,0.72x,0.97x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.94x,0.96x,1.02x
