,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.01x,1.00x
aot_eager,aot_eager,1.01x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.09x,1.02x,1.00x
aot_nvfuser,aot_nvfuser,1.13x,1.12x,1.11x
inductor,inductor,1.48x,1.28x,1.25x
inductor_no_cudagraphs,inductor_no_cudagraphs,1.22x,1.21x,1.24x
