dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,timm_efficientnet,32,27.318829,23.189258,20.200006,11.740523,3.316942,16.902709,4.758385,2.104674,0.326635,8.641144,35.650183
cuda,timm_nfnet,128,25.905576,20.897878,17.942575,8.885635,3.716796,14.391540,5.545052,2.137181,0.302868,9.401493
cuda,timm_regnet,32,28.142640,22.921279,19.944929,9.978460,3.720432,14.343805,4.736922,1.998330,0.381937,8.272871,20.183079
cuda,timm_resnest,32,17.413594,15.978443,13.076720,9.468632,1.329601,14.788324,3.506258,1.439852,0.112056,41.778618,6.718214
cuda,timm_vision_transformer,8,18.313561,15.702419,12.877898,8.028156,1.494707,13.026880,3.022482,1.401834,0.202505,18.008831,6.591012
cuda,timm_vision_transformer_large,8,45.834032,35.588552,32.542396,16.143514,5.962650,22.702212,8.907987,4.597647,1.070895,12.499665,12.836470
cuda,timm_vovnet,32,19.019324,16.421474,13.504597,8.143120,1.957974,12.712643,4.227904,1.700522,0.170796,6.628875,2.410103
cuda,tts_angular,64,4.466379,4.162301,1.843534,1.671391,0.065647,2.373303,0.062852,0.035095,0.004604,0.771679
cuda,vgg16,64,6.722831,6.206484,3.503047,2.910569,0.269801,4.866180,1.002083,0.366900,0.027692,2.239659
cuda,yolov3,16,33.984741,29.360905,26.418829,15.986029,4.413050,20.139309,6.762427,2.847206,0.423816,4.312982,8.764709
