dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.7961,68.7839,12.2410,0.8671
cuda,Background_Matting,0,0.0000
cuda,LearningToPaint,0,0.0000
cuda,Super_SloMo,0,0.0000
cuda,alexnet,128,0.9974,9.7602,0.8101,0.7935
cuda,attention_is_all_you_need_pytorch,256,0.9015,58.5791,11.2471,0.9066
cuda,dcgan,32,0.6644,3.1022,0.7533,0.8067
cuda,demucs,4,1.0032,53.2574,2.1748,0.9666
cuda,densenet121,4,0.6747,78.8619,19.4042,0.8647
cuda,dlrm,0,0.0000
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,0.7353,4.5316,1.0362,0.8852
cuda,fastNLP_Bert,0,0.0000
cuda,functorch_dp_cifar10,64,0.9189,10.7903,2.4958,0.8369
cuda,hf_Albert,8,0.9530,71.6202,8.8758,0.9344
cuda,hf_Bart,4,0.7731,82.0675,18.7705,0.8430
cuda,hf_Bert,4,0.7950,51.3271,12.4352,0.8726
cuda,hf_Bert_large,4,0.8215,99.5362,24.3205,0.8710
cuda,hf_BigBird,2,0.7840,254.9532,39.5955,0.9268
cuda,hf_DistilBert,8,0.9572,32.7555,5.6105,0.8146
cuda,hf_GPT2,4,0.9510,51.8711,10.2959,0.8199
cuda,hf_GPT2_large,4,0.9709,214.4920,30.9980,0.8304
cuda,hf_Longformer,2,0.6097,195.6093,34.5419,0.8296
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.8604,207.9796,13.5438,0.9290
cuda,hf_T5_large,2,0.8001,279.1691,53.7136,0.9064
cuda,lennard_jones,1000,0.7370,2.0561,0.6211,0.9997
cuda,mnasnet1_0,32,0.7052,32.5055,7.4079,0.8674
cuda,mobilenet_v2,96,0.7782,63.5569,7.7784,0.7655
cuda,mobilenet_v3_large,32,0.7577,36.5407,8.4526,0.8428
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9983,10.3204,0.7937,0.8055
cuda,phlippe_densenet,128,0.7340,35.0376,7.6334,0.8466
cuda,phlippe_resnet,128,0.7450,13.3187,3.1047,0.7743
cuda,pytorch_CycleGAN_and_pix2pix,1,0.8928,14.6004,3.1593,0.8829
cuda,pytorch_stargan,0,0.0000
cuda,pytorch_struct,200,0.7573,6.0610,1.3912,0.5168
cuda,pytorch_unet,1,0.2071,195.6909,4.7546,0.7154
cuda,resnet152,32,0.7139,90.2941,22.4192,0.8930
cuda,resnet18,16,0.7230,12.6254,3.1127,0.7861
cuda,resnet50,32,0.7361,36.1540,7.7301,0.8597
cuda,resnext50_32x4d,8,0.6678,30.5518,7.8237,0.8588
cuda,shufflenet_v2_x1_0,128,0.7384,45.3781,8.4722,0.8418
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.9233,11.1956,1.8191,0.7936
cuda,tacotron2,0,0.0000
cuda,timm_efficientnet,32,0.6156,52.4969,10.8507,0.7682
cuda,timm_nfnet,128,0.9837,118.9009,11.5167,0.8753
cuda,timm_regnet,32,0.7544,75.2091,12.8875,0.8494
cuda,timm_resnest,32,0.8389,28.8301,4.2630,0.8811
cuda,timm_vision_transformer,32,0.9529,35.2913,7.3912,0.9299
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,0.6943,35.6653,6.7409,0.8160
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.9220,6.6804,0.5015,0.9957
cuda,vgg16,64,0.9980,66.2321,1.1598,0.7250
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
