dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,16.816423,14.915436,12.011618,6.831629,1.655580,12.922695,3.203147,1.426769,0.148782,0.000009,6.929604,7.888232
cuda,AlbertForQuestionAnswering,4,16.574152,14.692522,11.707729,6.531707,1.634153,12.722939,2.937895,1.660323,0.145611,0.000007,3.252225,7.966792
cuda,BartForCausalLM,4,22.916556,19.560935,16.389871,11.153508,1.646856,17.700229,2.667219,1.740102,0.193320,3.520047,1.829735,11.888536
cuda,BartForConditionalGeneration,2,39.293080,32.147628,29.001423,14.588174,4.267189,22.016557,7.732498,3.817679,1.034363,0.698056,0.428522,12.802400
cuda,BertForMaskedLM,16,20.051090,16.631590,13.759101,7.729449,1.781313,13.327676,3.146362,1.855473,0.268635,0.000012,2.591763,7.545712
cuda,BertForQuestionAnswering,16,20.023218,16.625966,13.725357,7.680615,1.760028,13.136002,3.116458,1.831949,0.261601,0.000013,2.254343,7.388566
cuda,BlenderbotSmallForCausalLM,64,16.970489,14.563291,11.395114,7.829578,1.117716,14.976394,1.887836,1.187168,0.131505,3.502655,2.429124,11.888637
cuda,BlenderbotSmallForConditionalGeneration,64,27.635715,22.813823,19.570189,9.816116,2.624366,16.150839,5.093611,2.577962,0.548717,1.538064,2.320631,10.775322
cuda,CamemBert,16,19.891296,16.472684,13.603853,7.554303,1.766440,12.261439,3.131109,1.844316,0.269481,0.000010,1.264899,6.642583
cuda,DebertaForMaskedLM,4,29.222043,23.783577,20.456254,14.864505,1.698869,23.340289,3.227465,1.811118,0.259009,15.389354,3.338788,25.837610
cuda,DebertaForQuestionAnswering,8,28.810246,23.388160,20.264923,14.673999,1.693901,26.132548,3.075682,1.814040,0.257998,16.863055,3.114846,30.291034
cuda,DebertaV2ForMaskedLM,1,38.417552,27.928217,24.783458,14.891061,2.191735,22.435194,3.512882,2.412811,0.501421,35.131039,1.307978,45.388033
cuda,DebertaV2ForQuestionAnswering,2,35.979096,25.646062,22.567180,12.791949,2.510420,20.821158,4.449620,2.969697,0.511962,35.182577,46.236084
cuda,DistilBertForMaskedLM,128,14.107400,12.597184,9.659354,6.661363,0.932796,10.786792,1.744711,0.869260,0.114763,3.425672,8.607957,8.569438
cuda,DistilBertForQuestionAnswering,256,14.421982,12.908361,9.955307,6.898473,0.937098,11.426787,1.798454,0.884825,0.109170,3.748756,10.660250,9.299287
cuda,DistillGPT2,16,14.559337,12.889789,9.543086,6.670585,1.033410,11.016840,1.932696,0.889835,0.099369,0.995721,4.028211,6.455023
cuda,ElectraForCausalLM,32,25.170481,21.738784,18.872517,12.865673,1.776802,25.540552,3.149288,1.676924,0.270755,1.856604,8.727814,16.477921
cuda,ElectraForQuestionAnswering,64,19.764924,16.410529,13.579616,7.574115,1.762325,16.673246,3.192870,1.599535,0.270226,0.000009,3.015673,11.026989
cuda,GPT2ForSequenceClassification,4,19.738080,16.520255,13.341251,8.031395,2.047962,11.106848,3.071126,1.597601,0.234031,0.280136,1.525395,5.554730
cuda,GoogleFnet,16,21.716540,19.656322,16.613122,13.754395,1.082033,21.102067,1.677706,0.903867,0.112254,4.198023,2.060434,12.754689
cuda,LayoutLMForMaskedLM,16,20.264117,16.594800,13.764068,7.646503,1.789301,13.629586,3.442137,1.618312,0.272071,1.943721,2.607548,9.886485
cuda,LayoutLMForSequenceClassification,16,20.754653,17.080602,14.194750,8.031863,1.788387,15.366312,3.965231,2.060765,0.267836,6.491072,7.065846,15.778914
cuda,M2M100ForConditionalGeneration,16,44.658149,35.411317,32.368190,18.549898,4.088629,30.459828,7.063009,4.317722,0.572647,15.805613,21.250230,32.225393
cuda,MBartForCausalLM,4,22.835995,19.452398,16.268942,11.001297,1.713761,17.715353,2.740457,1.784049,0.193092,3.487012,1.839636,12.090894
cuda,MBartForConditionalGeneration,2,41.887647,34.695797,31.426028,16.823503,4.102403,24.195132,8.071064,3.944108,1.013350,0.713239,0.392298,12.915715
cuda,MT5ForConditionalGeneration,16,32.316168,26.251056,23.610743,12.009816,3.262076,19.538796,5.596442,2.210861,0.450490,39.414183,72.445424,50.516789
cuda,MegatronBertForCausalLM,4,34.141004,27.213599,24.224139,12.359760,3.814811,19.222866,6.744967,3.182361,0.712286,0.938948,2.929018,11.941781
cuda,MegatronBertForQuestionAnswering,8,33.053188,26.401135,23.385856,11.757823,3.743980,19.560260,6.394770,3.144660,0.698278,1.501127,2.058023,13.381122
cuda,MobileBertForMaskedLM,64,47.836755,34.514722,31.467103,11.531715,5.086905,26.583298,9.440288,5.603157,2.276760,18.885610,34.306558,39.589292
cuda,MobileBertForQuestionAnswering,128,47.254309,33.983169,30.936997,11.411488,5.568433,26.650841,8.986499,5.569984,2.343018,15.038457,30.204370,36.415820
cuda,PLBartForCausalLM,8,18.395942,16.390123,13.333415,10.403448,0.931513,16.505635,1.530823,0.922931,0.101636,2.146151,1.553989,9.274109
cuda,PLBartForConditionalGeneration,4,30.141390,25.100383,22.005401,14.763822,2.246417,22.961833,3.671434,2.184864,0.269545,3.015618,2.134706,13.682937
cuda,PegasusForCausalLM,32,21.147853,17.933656,14.870665,9.702451,1.664909,16.480129,2.706090,1.748696,0.191971,4.015537,2.304455,12.632308
cuda,PegasusForConditionalGeneration,32,37.848674,33.821231,30.766151,16.823119,3.888223,25.451871,7.493854,3.918006,0.702030,2.128261,1.861793,15.047050
cuda,RobertaForCausalLM,16,20.428606,16.965092,13.995999,7.625294,1.787148,11.861639,3.245663,1.834516,0.268564,0.000010,1.640600,6.190830
cuda,RobertaForQuestionAnswering,16,21.027996,17.518212,14.068253,7.750059,1.790343,11.694625,2.907567,1.824007,0.266276,0.000010,0.913256,5.901866
cuda,Speech2Text2ForCausalLM,256,15.515474,13.649695,10.889810,8.238008,0.788485,13.728095,1.458898,0.887093,0.101894,2.429163,3.573610,8.796967
cuda,T5ForConditionalGeneration,4,24.192430,20.213347,17.305375,9.688839,2.423047,14.695823,3.757197,1.605142,0.286497,3.353174,9.364638,10.996432
cuda,T5Small,4,24.603899,20.623021,17.478086,9.834870,2.185257,15.266136,3.781878,1.620560,0.286569,3.208812,9.160849,11.038670
cuda,XGLMForCausalLM,8,33.527302,27.892246,24.905785,13.964057,3.776466,23.566756,6.079340,3.747001,0.403504,8.779783,4.908021,22.522235
cuda,XLNetLMHeadModel,8,50.997056,44.073951,40.991607,22.153832,5.235811,29.581146,15.050664,3.902926,0.854823,11.499188,13.199170
cuda,YituTechConvBert,16,28.233586,23.506028,20.490004,11.436513,2.999017,22.706570,5.142864,2.423045,0.448670,1.018563,13.044979,15.540824
