dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,22.641697,19.599835,16.677262,9.818052,2.306877,15.105665,4.211710,1.836920,0.254666,23.834353,7.776438
cuda,Background_Matting,4,19.975857,17.914652,14.668376,8.728474,2.306583,15.473670,5.044737,2.732297,0.208994,27.110057,9.495627
cuda,LearningToPaint,96,12.787412,11.895994,7.840377,5.428551,0.919410,9.441942,1.370703,0.668070,0.066393,23.099350,5.004128
cuda,Super_SloMo,6,20.451874,18.376056,15.187480,9.471104,2.619869,14.443799,5.059313,2.439226,0.123517,7.722367,7.597350
cuda,alexnet,128,6.084637,5.773067,2.320788,2.010615,0.172704,5.741939,0.725282,0.416661,0.011876,3.913666,4.132332
cuda,attention_is_all_you_need_pytorch,256,23.514561,20.671941,17.400394,9.959148,2.147143,16.420175,4.485909,1.986346,0.334663,31.275328,8.813330
cuda,dcgan,32,5.783234,5.494089,2.456338,2.026998,0.180882,3.258511,0.304254,0.100641,0.010679,1.425894
cuda,demucs,4,12.984646,12.154051,8.662744,7.812708,0.414967,12.711254,1.042819,0.535249,0.032006,8.444910,5.339556
cuda,densenet121,4,45.755674,41.077559,37.338959,21.527208,7.021258,31.679088,12.720800,5.315278,0.662867,54.398379,17.645272
cuda,dlrm,1024,5.059188,4.758099,2.003568,1.578775,0.166472,3.157763,0.472004,0.133686,0.014174,1.758211
cuda,drq,1,7.038090,6.576106,2.968470,2.608767,0.113802,4.160311,0.118531,0.071043,0.012743,1.676368
cuda,fastNLP_Bert,6,24.153612,20.771661,17.645027,11.768165,1.998353,16.800668,3.428331,1.735335,0.270708,6.629910,7.589875
cuda,functorch_dp_cifar10,64,11.077876,10.354862,7.389778,4.936953,1.180457,10.481763,1.968102,0.841343,0.053663,34.440370,6.794502
cuda,hf_Albert,8,18.399131,16.455954,12.708594,7.094739,1.636367,11.920434,2.762078,1.441387,0.148009,9.206143,7.015202
cuda,hf_Bart,4,30.699630,24.403826,21.218463,13.141602,2.318961,21.177351,4.031229,2.197278,0.270287,3.421737,10.577270
cuda,hf_Bert,4,19.738271,16.466126,13.589671,7.680116,1.786419,12.573920,3.352779,1.567283,0.269566,3.318631,6.843364
cuda,hf_Bert_large,4,32.946864,25.760464,22.843312,11.252111,3.634386,18.722542,6.458089,3.052044,0.730154,3.082436,11.430267
cuda,hf_BigBird,2,68.236272,57.035519,53.626298,28.690437,8.733450,48.388296,20.688469,9.874601,0.554568,8.016486,29.081940
cuda,hf_DistilBert,8,13.550840,12.020329,9.158422,6.065282,0.937051,10.130066,1.779999,0.867893,0.111508,5.256963,5.083976
cuda,hf_GPT2,4,20.550155,17.462593,14.111104,8.590695,1.861187,12.065167,3.566839,1.615419,0.234623,7.639217,5.490285
cuda,hf_GPT2_large,4,49.858608,39.871829,36.834237,20.387195,5.143421,29.801173,11.393298,5.294035,1.191352,14.426736,15.025709
cuda,hf_Longformer,2,76.436479,66.833286,63.477252,43.065098,8.511317,58.179402,21.852926,7.867541,0.425276,6.232329,24.311902
cuda,hf_Reformer,4,26.876754,23.330803,20.406229,18.517443,0.900704,22.513666,1.256618,0.720296,0.063862,5.152739,5.002460
cuda,hf_T5,8,24.052069,20.015583,17.086007,9.572038,2.117934,15.277733,3.929948,1.589620,0.282914,6.795745,8.035695
cuda,hf_T5_large,2,83.248683,63.836884,60.416256,30.079005,8.762486,44.877660,18.056007,6.087421,2.447855,25.952853,24.434745
