dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,4,8.516581,5.891031,5.877098
cuda,AlbertForQuestionAnswering,4,8.310453,5.748461,5.734373
cuda,AllenaiLongformerBase,4,31.791400,19.908523,19.865537
cuda,BartForCausalLM,4,11.987531,5.603871,5.586233
cuda,BartForConditionalGeneration,2,26.421972,14.401744,14.383575
cuda,BertForMaskedLM,16,11.144957,5.673830,5.654794
cuda,BertForQuestionAnswering,16,11.060421,5.684494,5.670065
cuda,BlenderbotForCausalLM,4,22.780407,10.792495,10.769616
cuda,BlenderbotSmallForCausalLM,64,8.432447,3.663155,3.646780
cuda,BlenderbotSmallForConditionalGeneration,64,17.553900,9.492248,9.476698
cuda,CamemBert,16,10.918522,5.586709,5.571723
cuda,DebertaForMaskedLM,4,13.488196,6.219872,6.188878
cuda,DebertaForQuestionAnswering,8,13.162429,5.969550,5.939581
cuda,DebertaV2ForMaskedLM,1,26.736633,11.166274,11.117275
cuda,DebertaV2ForQuestionAnswering,2,26.373651,10.776636,10.729734
cuda,DistilBertForMaskedLM,128,5.595698,2.953800,2.939811
cuda,DistilBertForQuestionAnswering,256,5.531998,2.946703,2.932106
cuda,DistillGPT2,16,5.195378,2.705362,2.691301
cuda,ElectraForCausalLM,32,13.550930,5.910211,5.891396
cuda,ElectraForQuestionAnswering,64,10.899902,5.574655,5.560058
cuda,GPT2ForSequenceClassification,4,9.979248,5.049628,5.035520
cuda,LayoutLMForMaskedLM,16,11.433034,5.723274,5.708567
cuda,LayoutLMForSequenceClassification,16,11.281446,5.663993,5.648839
cuda,M2M100ForConditionalGeneration,16,25.732860,13.596017,13.574372
cuda,MBartForCausalLM,4,12.040918,5.741541,5.723684
cuda,MBartForConditionalGeneration,2,26.639291,14.474877,14.456803
cuda,MT5ForConditionalGeneration,16,19.007230,10.655890,10.640278
cuda,MegatronBertForCausalLM,4,22.017784,11.445100,11.428314
cuda,MegatronBertForQuestionAnswering,8,21.929953,11.249406,11.232299
cuda,MobileBertForMaskedLM,64,40.759792,23.333414,23.310963
cuda,MobileBertForQuestionAnswering,128,42.202930,24.449688,24.427942
cuda,OPTForCausalLM,2,11.176730,5.581492,5.563681
cuda,PLBartForCausalLM,8,6.823717,3.043833,3.028182
cuda,PLBartForConditionalGeneration,4,17.293190,7.780644,7.763096
cuda,PegasusForCausalLM,32,11.657390,5.543690,5.524746
cuda,PegasusForConditionalGeneration,32,19.882984,14.441530,14.421926
cuda,RobertaForCausalLM,16,11.461568,5.910198,5.895794
cuda,RobertaForQuestionAnswering,16,11.458686,5.916857,5.902584
cuda,Speech2Text2ForCausalLM,256,6.185264,2.716025,2.700155
cuda,T5ForConditionalGeneration,4,13.646242,7.681766,7.667021
cuda,T5Small,4,13.377641,7.635629,7.619857
cuda,TrOCRForCausalLM,32,12.289990,5.938490,5.919279
cuda,XGLMForCausalLM,8,21.267939,11.532146,11.506675
cuda,XLNetLMHeadModel,8,27.255576,16.774395,16.757976
cuda,YituTechConvBert,16,19.176529,8.523051,8.507161
