dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.262079,3.787595,2.625346,7.947710,2.580899,1.088017,0.145266,7.078390,0.819241
cuda,AlbertForQuestionAnswering,4,2.253158,3.565717,2.568760,7.853928,2.570814,1.076062,0.144035,6.946746,0.434704
cuda,BartForCausalLM,4,2.302490,6.414919,2.797584,9.296200,3.446303,1.306928,0.251234,1.699969,5.780086
cuda,BartForConditionalGeneration,2,6.323401,14.911263,9.149379,20.442272,8.303743,3.476833,0.993151,1.132776,14.936647
cuda,BertForMaskedLM,64,2.913018,5.491614,3.625897,7.511021,3.122862,1.462291,0.286850,5.755771,1.381784
cuda,BertForQuestionAnswering,128,2.935975,5.478917,3.514184,7.463604,3.058654,1.461046,0.281844,5.608608,0.783163
cuda,BlenderbotSmallForCausalLM,64,1.553200,3.895512,1.857889,6.651715,2.564452,0.993297,0.159515,4.681452,2.615893
cuda,BlenderbotSmallForConditionalGeneration,64,4.173901,9.060667,5.613840,12.668189,5.565643,2.464961,0.580508,2.625439,9.394036
cuda,CamemBert,1,2.905084,4.959327,3.237361,6.801606,2.768701,1.280512,0.263261,5.188363,0.639287
cuda,DebertaForMaskedLM,4,6.899369,15.208652,3.588306,19.476619,4.598105,2.455367,0.334433,0.911173,8.085494
cuda,DebertaForQuestionAnswering,8,7.191922,15.903466,3.536204,20.090398,5.144037,2.490401,0.337112,1.798123,7.949857
cuda,DistilBertForMaskedLM,64,1.200119,3.222024,1.761320,4.886089,1.646845,0.767766,0.121015,3.487577,1.460322
cuda,DistilBertForQuestionAnswering,64,1.207298,3.169085,1.667281,4.696218,1.612814,0.758501,0.117835,3.251404,1.054343
cuda,DistillGPT2,1,1.315446,2.975713,1.026843,5.094881,1.280220,0.846346,0.103591,3.192091,3.331728
cuda,ElectraForCausalLM,32,2.989342,7.263747,3.276977,10.434687,3.221406,1.861099,0.290377,2.892126,6.560350
cuda,ElectraForQuestionAnswering,64,2.897993,5.431617,3.165097,7.326119,3.046135,1.447731,0.283580,5.473022,1.323834
cuda,GPT2ForSequenceClassification,4,2.485688,5.025262,2.422083,7.809010,3.309457,1.351632,0.240550,5.296600,1.387613
cuda,LayoutLMForMaskedLM,16,3.277799,5.519488,3.065345,8.157335,3.788661,1.471235,0.289612,5.811486,1.412393
cuda,LayoutLMForSequenceClassification,16,3.265514,5.757205,2.991995,9.396724,4.138569,1.706451,0.285349,6.977652,5.860555
cuda,M2M100ForConditionalGeneration,8,6.236445,12.614975,5.567033,18.908724,6.524095,3.220800,0.720906,16.340193,13.042945
cuda,MBartForCausalLM,32,2.312957,6.999066,3.056382,10.413654,3.737741,1.475883,0.287209,1.605698,6.575035
cuda,MBartForConditionalGeneration,16,6.266742,13.624077,9.948039,20.953405,10.216390,3.872276,1.202257,0.567803,17.537919
cuda,MT5ForConditionalGeneration,8,5.208486,8.359988,5.424742,13.754711,5.806317,2.525675,0.445524,10.994499,3.812312
cuda,MegatronBertForCausalLM,16,5.791456,10.495112,7.269933,14.925999,7.740601,2.974530,0.840372,12.456457,1.227532
cuda,MegatronBertForQuestionAnswering,16,5.731053,10.127607,6.977021,14.765295,7.226456,2.912780,0.812994,12.431880,0.718571
cuda,MobileBertForMaskedLM,32,13.630035,11.313433,10.239108,22.331514,12.010949,4.900930,2.522013,21.620627,2.226796
cuda,MobileBertForQuestionAnswering,64,13.643909,11.314831,9.527227,22.289205,11.977982,4.894907,2.542190,21.324423,2.804181
cuda,OPTForCausalLM,32,2.333574,6.046535,2.294697,9.494314,3.781625,1.497410,0.258048,2.716385,5.832320
cuda,PLBartForCausalLM,32,1.231659,4.746678,1.654274,7.002074,1.904611,0.772665,0.112910,1.883953,3.965681
cuda,PLBartForConditionalGeneration,16,3.400503,7.789919,4.276648,11.564955,4.067046,1.937774,0.384618,2.739098,8.186330
cuda,PegasusForCausalLM,32,2.571330,6.987256,3.031758,11.231453,3.994941,1.501068,0.280907,1.799289,7.384466
cuda,PegasusForConditionalGeneration,16,6.259066,13.035357,9.386655,19.687837,7.909566,3.802536,0.816659,1.048399,16.313762
cuda,RobertaForCausalLM,64,2.908095,6.579838,3.438596,8.134721,3.212124,1.490307,0.289261,0.717502,5.553424
cuda,RobertaForQuestionAnswering,128,3.124195,5.398739,3.509917,6.892705,3.019629,1.433634,0.280049,5.112236
cuda,Speech2Text2ForCausalLM,128,1.328303,5.164830,1.026712,7.722319,1.633418,0.727451,0.112109,1.827334,3.631559
cuda,T5ForConditionalGeneration,4,3.692643,7.475378,3.022130,11.091493,4.280493,1.522694,0.286620,5.449255,6.759811
cuda,T5Small,1,3.472988,6.864374,2.527698,10.233507,3.699803,1.292339,0.263697,8.304814,6.014266
cuda,TrOCRForCausalLM,32,2.261118,6.461468,2.845758,9.637438,3.576519,1.402893,0.260074,1.567666,6.124447
cuda,XGLMForCausalLM,8,4.952016,12.168522,7.362127,18.158560,7.777891,2.889092,0.731414,31.291873,14.195677
cuda,YituTechConvBert,1,4.197269,8.621226,4.746987,13.576864,4.793847,2.246791,0.434564,16.711085,9.860681
