dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,13.406297,11.697673,4.129797,2.167022,8.759513,3.284939,1.145460,0.149011,1.321891,8.208427,0.803187
cuda,AlbertForQuestionAnswering,4,13.530217,11.791007,4.130852,2.117448,8.761872,3.245867,1.130896,0.143934,0.929209,7.766909,0.415993
cuda,AllenaiLongformerBase,4,56.626403,49.317049,29.558986,7.697474,35.939364,15.481681,5.059083,0.425433,16.528343,0.658166,30.969852
cuda,BartForCausalLM,4,15.832855,14.013422,6.325982,2.068728,9.730751,3.451356,1.484289,0.287605,2.194353,2.382329,7.763776
cuda,BartForConditionalGeneration,2,39.212343,34.696201,14.636427,6.003325,21.358837,9.072045,4.490915,1.160033,0.573665,1.196497,13.553909
cuda,BertForMaskedLM,16,15.315686,13.245235,5.086208,2.215465,8.245466,3.586535,1.491232,0.284554,1.795058,7.272026,1.419852
cuda,BertForQuestionAnswering,16,15.390589,13.284023,5.150722,2.189176,8.235761,3.580402,1.479030,0.279431,1.365571,6.741714,0.998992
cuda,BlenderbotSmallForCausalLM,64,10.076267,8.955828,3.614462,1.366637,6.341052,2.081540,1.015620,0.171319,2.751915,6.910335,2.523745
cuda,BlenderbotSmallForConditionalGeneration,64,25.906044,22.875034,9.665441,3.802586,13.758252,5.531485,2.479799,0.600543,1.992416,1.807164,10.054390
cuda,CamemBert,16,15.314638,13.236007,5.119890,2.213568,8.236438,3.580961,1.482537,0.288495,0.708325,6.140167,0.341042
cuda,DebertaForMaskedLM,4,30.117540,24.218029,14.766856,3.286127,18.355698,4.784390,2.305335,0.361243,15.090132,0.937815,22.224972
cuda,DebertaForQuestionAnswering,8,29.814086,23.974434,14.528040,3.249159,17.915385,4.784891,2.302822,0.366482,16.054337,1.807690,22.949281
cuda,DebertaV2ForMaskedLM,1,43.916877,33.532174,17.026840,3.900813,21.195032,5.606809,2.959024,0.625093,34.508547,1.538827,43.004501
cuda,DebertaV2ForQuestionAnswering,2,43.688649,33.236350,16.734877,4.774976,21.129518,6.768679,3.514482,0.639261,34.636435,0.552020,44.241724
cuda,DistilBertForMaskedLM,128,8.485538,7.640409,3.366734,1.158142,5.409984,1.660654,0.807757,0.121527,1.399308,4.652851,1.147672
cuda,DistilBertForQuestionAnswering,256,8.487105,7.619304,3.309007,1.149592,5.500006,1.725249,0.810198,0.117726,0.819049,4.212015,0.554735
cuda,DistillGPT2,16,9.091667,8.121220,4.223954,1.272442,6.409528,1.868185,0.785744,0.107567,1.719786,1.897834,5.225990
cuda,ElectraForCausalLM,32,17.516357,15.365872,7.059989,2.247534,13.225006,3.775350,1.567661,0.285774,3.667671,3.034989,12.184364
cuda,ElectraForQuestionAnswering,64,15.458089,13.368864,5.180184,2.232395,10.443506,3.610143,1.478851,0.283903,2.106582,9.702772,1.739918
cuda,GPT2ForSequenceClassification,4,14.507073,12.475842,5.328753,2.472130,8.241476,3.230942,1.403185,0.246012,1.778157,7.449162,1.412316
cuda,LayoutLMForMaskedLM,16,17.659563,15.320480,7.005087,2.258457,10.227185,3.707759,1.506911,0.287973,1.801860,1.849258,7.386787
cuda,LayoutLMForSequenceClassification,16,17.773244,15.420967,7.130444,2.241997,12.094110,4.455393,1.743985,0.280804,6.355261,6.352841,13.662472
cuda,M2M100ForConditionalGeneration,16,37.042800,32.600263,13.343094,5.200934,21.966133,8.225494,3.725125,0.828722,4.258974,11.494138,18.332020
