,Compiler,torchbench,huggingface,timm_models
eager,eager,2.06,2.84,2.33
aot_eager,aot_eager,6.61,10.24,8.69
inductor,inductor,33.97,38.49,44.16
inductor_no_cudagraphs,inductor_no_cudagraphs,34.21,33.58,41.73
