dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,36.361348,30.135102,8.163870,2.889079,11.171782,4.701229,1.978439,0.362242,13.540870,6.347996
cuda,Background_Matting,4,31.111826,26.529831,9.545079,4.340276,12.306929,6.547150,2.739198,0.284679,7.222893
cuda,LearningToPaint,96,12.574480,10.864263,4.102404,1.956597,4.521625,1.462355,0.693932,0.094208,2.426156
cuda,Super_SloMo,6,35.917058,30.796706,10.651341,4.830787,12.442772,6.783342,2.476275,0.175895,6.721257
cuda,alexnet,128,3.922754,3.495810,2.094295,0.332915,3.350176,0.995009,0.309839,0.020950,1.597270
cuda,attention_is_all_you_need_pytorch,256,34.899264,29.787723,9.859739,2.942487,12.914596,5.701488,2.171453,0.437991,13.463014,6.137303
cuda,dcgan,32,3.681933,3.337492,2.117955,0.343613,2.643844,0.242177,0.109918,0.016226,0.880387
cuda,demucs,4,3.368200,1.820180,1.605057,0.131645,1.466620,0.165979,0.083317,0.012969
cuda,densenet121,4,76.508736,65.630207,25.142223,13.422724,26.097444,14.799888,5.057567,0.789717,14.688997
cuda,dlrm,1024,3.206608,2.800650,1.303206,0.403412,2.101881,0.402043,0.142411,0.017284,1.211360
cuda,drq,1,4.303898,3.739461,2.256538,0.264154,3.198052,0.227468,0.117290,0.020666,1.216131
cuda,fastNLP_Bert,6,36.587842,30.373123,10.038783,2.591108,13.413356,4.952535,2.045150,0.357068,5.730533,6.315250
cuda,functorch_dp_cifar10,64,10.424801,9.178506,4.271389,2.172761,6.520791,2.425440,0.826149,0.083580,4.471710,0.573435
cuda,hf_Albert,8,26.493859,22.014984,5.005945,2.287659,7.897006,3.098495,1.284769,0.159698,4.252038,5.269171
cuda,hf_Bart,4,46.288477,38.282606,10.893744,3.220213,15.088935,5.700661,2.804474,0.507804,4.185645,7.571452
cuda,hf_Bert,4,34.359786,27.713146,6.975100,2.536207,9.770626,4.155471,1.868081,0.351175,2.098795,5.455384
cuda,hf_Bert_large,4,64.587324,52.247371,12.905511,5.193261,17.924629,9.159486,3.602964,0.953484,1.878661,10.441421
cuda,hf_DistilBert,8,18.439693,15.424632,5.236871,1.540056,7.200237,2.138080,1.022260,0.145119,5.389450,3.565251
cuda,hf_GPT2,4,29.506108,24.146453,6.520285,2.498364,9.638747,4.104069,1.734398,0.302282,3.505476,5.722678
cuda,hf_GPT2_large,4,86.837419,70.123598,18.053792,7.655308,28.212669,13.570067,5.729232,1.551673,2.667864,18.502606
cuda,hf_Longformer,2,81.611966,69.033991,32.139554,6.780174,40.065089,18.440127,6.222138,0.458323,4.574816,15.054262
cuda,hf_Reformer,4,17.395632,13.789047,9.295115,1.284463,9.739374,1.508600,0.972750,0.072379,3.072296,1.774547
cuda,hf_T5,8,33.111432,27.576173,8.876514,2.874967,12.510091,5.199982,2.076789,0.361741,7.034046,6.644163
cuda,hf_T5_large,2,127.965364,105.040590,32.303902,11.595684,48.949078,25.482941,8.975637,2.952847,26.358696,28.795113
cuda,lennard_jones,1000,2.742186,2.429481,1.511696,0.076408,2.045239,0.102335,0.063316,0.008964,0.615330
cuda,mnasnet1_0,32,29.276811,24.821520,8.960072,4.226005,10.052799,4.339410,1.887300,0.271810,5.442271,2.406418
cuda,mobilenet_v2,96,30.965731,26.794834,9.971102,4.233971,10.767013,4.804222,2.318693,0.299675,5.157641
cuda,mobilenet_v3_large,32,32.195426,27.736935,9.833756,4.523854,11.762415,5.200733,2.079277,0.295947,6.585485,29.935941
cuda,nvidia_deeprecommender,256,3.432393,3.033101,1.693186,0.134314,2.720148,0.160947,0.086985,0.012881,1.169348,0.422613
cuda,phlippe_densenet,128,30.008603,25.852706,9.675379,4.377471,11.285164,5.222179,2.250983,0.282972,6.112199
cuda,phlippe_resnet,128,11.604851,9.963474,3.862969,1.712789,4.101080,1.251609,0.662987,0.090136,2.120871
cuda,pytorch_CycleGAN_and_pix2pix,1,14.119255,12.025861,3.739254,2.039709,5.450622,2.120329,0.848316,0.085965,3.800900
cuda,pytorch_stargan,16,11.378665,9.927588,4.012661,1.469968,4.928225,1.588531,0.498616,0.072759,37.717421,2.576937
cuda,pytorch_struct,200,4.424060,3.718998,1.464005,0.197382,2.841496,0.339616,0.182159,0.027699,1.589938,14.323780
cuda,pytorch_unet,1,15.053600,12.973180,4.793262,1.848774,6.402226,2.812765,1.132040,0.106712,3.515050
cuda,resnet152,32,81.651145,68.120780,19.939204,12.860884,19.505762,10.988212,4.308473,1.130998,12.794748,2.357410
cuda,resnet18,16,12.727383,11.095648,5.011711,1.752423,5.774195,1.934682,0.986437,0.090689,2.561239,2.556772
cuda,resnet50,32,29.026885,24.476991,8.130477,4.108876,8.965307,4.092057,1.730090,0.260259,5.286428,2.237720
cuda,resnext50_32x4d,8,28.127661,23.647885,7.440388,4.118473,8.346343,3.554428,1.738849,0.243811,5.146735,2.571199
cuda,shufflenet_v2_x1_0,128,31.414240,26.905100,9.879756,5.149463,10.712173,5.241423,2.584866,0.347715,6.120960
cuda,soft_actor_critic,256,2.996047,2.714082,2.023181,0.076749,2.919258,0.091077,0.051823,0.008369,0.978132
cuda,speech_transformer,32,44.526706,36.697366,10.694397,2.964129,15.061345,6.327398,2.971226,0.343079,7.487833
cuda,squeezenet1_1,32,7.997448,6.892337,3.346900,1.212131,4.713290,1.691975,0.860063,0.061889,2.599837
cuda,timm_efficientdet,1,130.105195,104.600369,31.752140,21.370627,49.906602,22.518474,7.246440,1.673166,42.077137,40.784132
cuda,timm_efficientnet,32,38.340039,31.921749,10.949710,5.718187,12.848765,6.067509,2.451346,0.364840,7.771581,35.438062
cuda,timm_nfnet,128,36.842648,30.250310,9.170621,6.212464,12.061931,6.118639,2.714673,0.336976,9.268801
cuda,timm_regnet,32,42.763928,34.804944,10.448026,6.650386,11.590671,5.376356,2.277224,0.430586,7.972322,19.486917
cuda,timm_resnest,32,17.716971,15.458107,7.146353,2.429765,9.545287,3.662495,1.523721,0.125906,40.853967,4.892499
cuda,timm_vision_transformer,8,22.093716,18.316912,5.878239,2.214362,12.719792,3.355938,1.657848,0.268846,16.250260,9.147453
cuda,timm_vision_transformer_large,8,69.953267,57.055284,15.074421,6.711465,38.010137,13.175079,5.060668,1.638329,11.143806,30.209816
cuda,timm_vovnet,32,24.011530,20.125283,7.615165,3.549605,9.660009,4.535852,1.782565,0.191015,5.689822,2.381810
cuda,tts_angular,64,2.164546,1.672175,1.467737,0.068575,1.942306,0.063651,0.034640,0.004557,0.546955
cuda,vgg16,64,5.784842,5.015836,2.506230,0.774480,3.457993,1.045378,0.437912,0.037085,1.740427
cuda,yolov3,16,45.072897,38.111334,13.688855,7.042748,15.395104,7.583583,3.027904,0.434905,4.466134,8.933858
