dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,26.255408,22.870052,19.057183,11.583779,2.477061,15.949131,4.169075,1.831748,0.252200,24.385982,9.960627
cuda,Background_Matting,4,22.681469,20.552464,16.803683,10.407431,2.502239,16.532228,5.209753,2.802303,0.204229,27.070206,11.073053
cuda,LearningToPaint,96,14.309351,13.398022,9.279634,6.764936,0.992871,10.527140,1.367122,0.683030,0.066464,23.979319,5.795314
cuda,Super_SloMo,6,22.092569,19.982123,16.475770,10.571977,2.725857,14.783483,5.017721,2.420421,0.119621,8.760791,7.593163
cuda,alexnet,128,6.345721,6.033651,2.515549,2.180315,0.175372,5.817550,0.861137,0.281566,0.012276,3.937122,4.047792
cuda,attention_is_all_you_need_pytorch,256,26.014596,23.017557,19.583013,11.985538,2.528471,17.308875,4.197732,1.954448,0.326978,31.172104,10.722344
cuda,dcgan,32,6.241920,5.945128,2.466137,2.019672,0.319172,2.983603,0.167801,0.097455,0.010289,1.455589
cuda,demucs,4,13.400105,12.561395,8.933017,8.039867,0.433923,12.954909,1.041167,0.532789,0.032374,7.873216,5.717196
cuda,densenet121,4,50.872418,45.854256,42.158258,25.847386,7.457199,34.439409,12.688017,5.625255,0.667109,47.063205,22.825881
cuda,dlrm,1024,5.336769,5.019346,2.209023,1.766948,0.310667,3.042305,0.339903,0.133981,0.014729,1.769367
cuda,drq,1,7.711625,7.239311,3.229851,2.851107,0.119761,4.436439,0.121053,0.071833,0.012770,1.851156
cuda,fastNLP_Bert,6,27.094288,23.622367,19.929374,13.686047,1.964445,18.088667,3.415253,1.750454,0.269101,6.585869,8.885440
cuda,functorch_dp_cifar10,64,11.637993,10.889072,7.806814,5.239597,1.255471,10.716512,2.133754,0.856829,0.054284,33.584068,7.813254
cuda,hf_Albert,8,19.840612,17.779857,13.957741,8.060179,1.799053,12.440680,2.788074,1.847171,0.148255,8.335587,8.717800
cuda,hf_Bart,4,28.432665,24.181074,20.790703,12.297391,2.579301,17.795100,4.376626,2.132713,0.388381,3.183740,11.362822
cuda,hf_Bert,4,22.164660,18.714209,15.276373,9.129434,2.200968,12.911629,3.159928,1.604890,0.268229,3.065418,8.446599
cuda,hf_Bert_large,4,37.104968,29.497032,26.165257,14.030702,3.682499,19.312071,6.424882,3.046001,0.720206,3.085337,14.123556
cuda,hf_BigBird,2,73.522755,62.601758,59.100616,32.372996,9.887811,49.192780,20.795079,10.364990,0.555789,8.070253,35.058642
cuda,hf_DistilBert,8,15.685973,14.044298,10.336743,7.060567,1.035864,10.657187,2.005512,0.880000,0.109157,5.391209,6.127792
cuda,hf_GPT2,4,22.485798,19.282008,15.941408,10.280647,1.996203,12.866990,3.545442,1.595655,0.230026,7.712619,6.797715
cuda,hf_GPT2_large,4,55.008818,44.157040,40.447014,23.675724,6.473337,29.281378,10.839879,4.689430,1.209666,14.530069,18.665984
cuda,hf_Reformer,4,27.870804,24.456336,21.130101,18.963803,0.746014,22.636014,1.362158,0.673286,0.063135,5.522032,5.307159
cuda,hf_T5,8,27.612392,23.166403,19.406571,11.000521,2.427046,15.930656,4.346434,1.677391,0.289683,6.498987,10.635451
cuda,hf_T5_large,2,93.814954,71.278600,67.678688,35.012143,10.212716,45.009363,18.386509,6.398312,2.562687,25.872634,32.219017
cuda,lennard_jones,1000,4.473849,4.082668,1.350126,1.143219,0.031353,1.980481,0.071489,0.036696,0.005852,0.931704
cuda,mnasnet1_0,32,23.638369,21.697680,17.204126,11.221747,2.375437,15.840570,3.839181,1.787990,0.190001,69.991478,9.806763
cuda,mobilenet_v2,96,25.096544,23.048760,19.205880,12.306481,2.509384,16.080687,3.821329,1.926269,0.214989,89.722003,9.218677
cuda,mobilenet_v3_large,32,25.384377,23.242681,18.526101,12.112330,2.580395,17.822480,4.146458,1.932266,0.218106,94.528342,11.145898
cuda,nvidia_deeprecommender,256,5.256673,4.930038,1.749895,1.399516,0.115537,4.536332,0.086324,0.209155,0.008743,3.388808,0.486561
cuda,phlippe_densenet,128,26.584791,24.501908,20.885483,14.561961,2.501637,20.232161,4.106349,2.483440,0.213345,121.417455,11.045738
cuda,phlippe_resnet,128,11.641758,10.765325,7.308806,4.929269,0.913881,7.588886,0.927146,0.632136,0.061201,13.845705,4.517859
cuda,pytorch_CycleGAN_and_pix2pix,1,13.092050,12.276966,8.193589,5.571092,1.145067,8.968653,2.182177,0.925574,0.058603,12.534011,5.529137
cuda,pytorch_stargan,16,13.214419,12.380553,8.801594,5.954240,0.943157,9.523529,1.145413,0.500417,0.055078,26.409296,5.537802
cuda,pytorch_struct,200,7.923977,7.458138,4.184797,3.572103,0.154063,7.393022,0.184697,0.125664,0.019507,11.930749,4.212296
