dev,name,batch_size,accuracy
cuda,AlbertForMaskedLM,1,pass
cuda,AlbertForQuestionAnswering,1,pass_due_to_skip
cuda,AllenaiLongformerBase,1,fail_to_run
cuda,BartForCausalLM,1,pass
cuda,BartForConditionalGeneration,1,fail_to_run
cuda,BertForMaskedLM,1,pass
cuda,BertForQuestionAnswering,1,pass_due_to_skip
cuda,BigBird,1,pass_due_to_skip
cuda,BlenderbotSmallForCausalLM,1,pass
cuda,BlenderbotSmallForConditionalGeneration,1,pass
cuda,CamemBert,1,pass
cuda,DebertaForMaskedLM,1,fail_to_run
cuda,DebertaForQuestionAnswering,1,fail_to_run
cuda,DistilBertForMaskedLM,1,fail_to_run
cuda,DistilBertForQuestionAnswering,1,fail_to_run
cuda,DistillGPT2,1,pass
cuda,ElectraForCausalLM,1,pass
cuda,ElectraForQuestionAnswering,1,pass_due_to_skip
cuda,GPT2ForSequenceClassification,1,fail_to_run
cuda,LayoutLMForMaskedLM,1,pass_due_to_skip
cuda,LayoutLMForSequenceClassification,1,fail_to_run
cuda,M2M100ForConditionalGeneration,1,pass
cuda,MBartForCausalLM,1,pass
cuda,MBartForConditionalGeneration,1,pass
cuda,MT5ForConditionalGeneration,1,pass_due_to_skip
cuda,MegatronBertForCausalLM,1,pass
cuda,MegatronBertForQuestionAnswering,1,pass_due_to_skip
cuda,MobileBertForMaskedLM,1,pass
cuda,MobileBertForQuestionAnswering,1,pass_due_to_skip
cuda,OPTForCausalLM,1,fail_to_run
cuda,PLBartForCausalLM,1,pass
cuda,PLBartForConditionalGeneration,1,pass
cuda,PegasusForCausalLM,1,pass
cuda,PegasusForConditionalGeneration,1,pass
cuda,RobertaForCausalLM,1,pass
cuda,RobertaForQuestionAnswering,1,pass
cuda,Speech2Text2ForCausalLM,1,pass
cuda,T5ForConditionalGeneration,1,pass
cuda,T5Small,1,pass
cuda,TrOCRForCausalLM,1,pass
cuda,XGLMForCausalLM,1,fail_to_run
cuda,XLNetLMHeadModel,1,fail_to_run
cuda,YituTechConvBert,1,pass
