dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,21.173129,17.940479,8.200373,2.919613,11.323940,4.858965,2.052898,0.373849,13.506104,6.501885
cuda,Background_Matting,4,19.947242,17.575922,9.004768,3.188957,12.750396,6.921550,2.879330,0.281959,7.059481
cuda,LearningToPaint,96,8.198520,7.295185,3.845754,1.522823,4.570914,1.488335,0.722154,0.095459,2.298473
cuda,Super_SloMo,6,19.542702,17.541474,9.743644,3.479338,12.349063,6.480441,2.569621,0.176400,6.186490
cuda,alexnet,128,2.772840,2.550938,2.043229,0.210619,3.385453,1.020701,0.320751,0.020283,1.561124
cuda,attention_is_all_you_need_pytorch,256,23.044003,19.702318,9.557045,3.037741,12.381809,5.105298,2.229139,0.442269,14.212815,6.218058
cuda,dcgan,32,2.872418,2.676924,2.045031,0.225736,2.652345,0.252389,0.111521,0.016685,0.843837
cuda,demucs,4,2.511514,1.752359,1.544767,0.132606,1.405308,0.168527,0.086646,0.013340
cuda,densenet121,4,50.374874,43.988933,21.336328,8.081973,26.603658,15.431215,5.284928,0.793276,14.157630
cuda,drq,1,3.204605,2.864484,2.224897,0.164487,3.241565,0.232730,0.118812,0.020200,1.192733
cuda,fastNLP_Bert,6,22.757611,19.313002,10.102403,2.592708,13.821570,4.744431,2.482404,0.376226,5.732122,6.433460
cuda,functorch_dp_cifar10,64,7.680213,6.968530,4.023465,1.682997,6.471990,2.449616,0.850041,0.085169,4.182822,0.641823
cuda,hf_Albert,8,14.866025,12.904741,5.152229,1.915995,8.352130,3.422505,1.329763,0.162459,3.775536,5.635715
cuda,hf_Bart,4,26.795672,22.652680,10.780260,3.231493,15.059917,5.808973,2.864632,0.504514,4.213860,7.671001
cuda,hf_Bert,4,19.835080,16.133276,7.162737,2.514049,10.035626,4.204744,1.929324,0.352240,2.078444,5.503641
cuda,hf_Bert_large,4,37.767932,30.745778,13.041218,5.280593,18.080223,8.662171,4.184188,0.970724,1.891629,10.556679
cuda,hf_DistilBert,8,11.343793,9.774398,5.266082,1.581790,7.203684,2.123902,1.034494,0.145694,5.239699,3.583092
cuda,hf_GPT2,4,17.482409,14.582506,6.609110,2.340411,9.807910,4.225260,1.764233,0.299210,3.656830,5.644941
cuda,hf_GPT2_large,4,51.332320,41.783961,18.077232,7.652908,27.230959,14.174958,5.145622,1.534065,2.560655,17.481300
cuda,hf_Longformer,2,63.513110,54.928136,32.568681,6.482345,40.912292,18.781403,6.755778,0.455184,4.558853,15.170730
cuda,hf_Reformer,4,13.498338,11.160775,8.814858,0.895602,9.431702,1.500498,0.770517,0.073328,3.313803,1.558649
cuda,hf_T5,8,23.869812,19.887012,9.058237,2.917007,12.758876,5.318955,2.160631,0.362603,6.932461,6.756237
cuda,hf_T5_large,2,88.680492,72.400910,32.309779,11.344749,47.401350,26.189068,8.186517,2.844986,27.457361,26.974800
cuda,lennard_jones,1000,2.050993,1.886349,1.532805,0.077196,2.084859,0.102781,0.065085,0.009027,0.634594
