dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,BERT_pytorch,16,0.0,0.0,2.7386
cuda,Background_Matting,4,0.0,0.0,1.2523
cuda,LearningToPaint,96,1.1517,0.0,1.8949
cuda,Super_SloMo,0,0.0,0.0,0.0
cuda,alexnet,128,1.0003,0.9551,1.0904
cuda,attention_is_all_you_need_pytorch,256,1.0071,0.0,1.5116
cuda,dcgan,32,1.0602,0.0,2.3561
cuda,demucs,0,0.0,0.0,0.0
cuda,densenet121,4,1.0576,0.0,4.9443
cuda,detectron2_maskrcnn,0,0.0,0.0,0.0
cuda,dlrm,0,0.0,0.0,0.0
cuda,drq,1,0.0,0.0,2.7322
cuda,fambench_xlmr,0,0.0,0.0,0.0
cuda,fastNLP_Bert,6,1.0212,0.0,0.0
cuda,hf_Albert,8,1.001,1.6539,2.2083
cuda,hf_Bart,4,1.0126,1.4068,1.8439
cuda,hf_Bert,4,1.0427,1.4833,1.8562
cuda,hf_BigBird,0,0.0,0.0,0.0
cuda,hf_DistilBert,8,1.0223,1.1778,1.3878
cuda,hf_GPT2,4,1.0142,1.3621,0.0
cuda,hf_Longformer,2,0.0,0.0,2.507
cuda,hf_Reformer,0,0.0,0.0,0.0
cuda,hf_T5,8,0.9996,0.8523,1.5834
cuda,maml,0,0.0,0.0,0.0
cuda,maml_omniglot,1,0.9913,0.0,2.8808
cuda,mnasnet1_0,32,1.0812,0.0,2.521
cuda,mobilenet_v2,96,1.0714,0.0,1.7841
cuda,mobilenet_v2_quantized_qat,0,0.0,0.0,0.0
cuda,mobilenet_v3_large,32,0.0,0.0,3.1059
cuda,moco,32,1.0678,1.0061,0.0
cuda,nvidia_deeprecommender,256,1.0668,0.9565,0.8453
cuda,opacus_cifar10,0,0.0,0.0,0.0
cuda,pyhpc_equation_of_state,0,0.0,0.0,0.0
cuda,pyhpc_isoneutral_mixing,0,0.0,0.0,0.0
cuda,pyhpc_turbulent_kinetic_energy,0,0.0,0.0,0.0
cuda,pytorch_CycleGAN_and_pix2pix,1,0.0,0.0,2.5905
cuda,pytorch_stargan,16,1.0276,0.0,1.4445
cuda,pytorch_struct,200,1.0747,0.9715,2.3941
cuda,pytorch_unet,1,0.0,0.0,1.5335
cuda,resnet18,16,1.1057,0.0,2.5674
cuda,resnet50,32,1.0985,0.0,1.7352
cuda,resnet50_quantized_qat,0,0.0,0.0,0.0
cuda,resnext50_32x4d,8,1.1162,0.0,3.1773
cuda,shufflenet_v2_x1_0,128,1.0823,0.0,1.7248
cuda,soft_actor_critic,256,0.0,0.0,1.628
cuda,speech_transformer,32,0.0,1.0223,0.0
cuda,squeezenet1_1,32,1.0421,1.0881,2.5098
cuda,tacotron2,0,0.0,0.0,0.0
cuda,timm_efficientdet,0,0.0,0.0,0.0
cuda,timm_efficientnet,32,1.0925,0.0,2.7042
cuda,timm_nfnet,128,0.9992,1.1913,0.0
cuda,timm_regnet,32,1.0849,0.0,3.0319
cuda,timm_resnest,32,1.0705,0.0,1.9372
cuda,timm_vision_transformer,8,1.0055,1.414,0.0
cuda,timm_vovnet,32,1.1004,0.0,1.1384
cuda,tts_angular,64,0.9895,0.9948,0.0
cuda,vgg16,64,0.9995,0.9117,1.2017
cuda,vision_maskrcnn,0,0.0,0.0,0.0
cuda,yolov3,16,0.9186,1.0032,0.0
