,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.00x,1.00x
aot_eager,aot_eager,1.00x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.24x,1.02x,1.00x
nvprims_nvfuser,nvprims_nvfuser,1.02x,1.10x,1.09x
inductor,inductor,1.66x,1.62x,1.17x
inductor_no_cudagraphs,inductor_no_cudagraphs,1.29x,1.54x,1.15x
