dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.207522,3.722076,1.887480,8.560684,3.009147,1.138940,0.145023,1.320553,8.136624,0.802835
cuda,AlbertForQuestionAnswering,4,2.231173,3.727164,2.048506,8.386434,2.958242,1.118827,0.140399,0.945354,7.746129,0.385154
cuda,BartForCausalLM,4,2.337055,6.380678,2.435995,9.484653,3.580117,1.403804,0.264490,2.102616,2.263687,7.750242
cuda,BartForConditionalGeneration,2,6.329214,13.770548,5.596279,20.418245,9.359643,3.497536,1.032659,1.322637,1.138597,13.876755
cuda,BertForMaskedLM,16,2.828275,5.239849,2.636221,7.873731,3.564532,1.539660,0.290299,1.820311,7.203823,1.446954
cuda,BertForQuestionAnswering,16,2.854924,5.293627,2.567850,7.748979,3.497670,1.519357,0.283526,1.413334,6.547239,1.026998
cuda,BlenderbotSmallForCausalLM,64,1.568722,3.854005,1.602114,6.229758,2.428602,1.032761,0.164957,3.038393,7.086621,2.798671
cuda,BlenderbotSmallForConditionalGeneration,64,4.209922,8.556483,3.660830,13.210479,6.070577,2.473154,0.588331,2.000943,1.937309,10.495924
cuda,CamemBert,16,2.835727,5.590969,2.663582,8.151157,3.568272,1.525261,0.291753,0.728893,6.064966,0.333548
cuda,DebertaForMaskedLM,4,6.812268,15.341980,3.419029,19.531573,5.140625,2.423344,0.338208,16.641264,0.950989,24.503638
cuda,DebertaForQuestionAnswering,8,6.826759,14.729282,3.317406,18.690878,5.052515,2.381594,0.333624,16.618570,1.811847,24.145906
cuda,DebertaV2ForMaskedLM,1,11.798274,18.201649,4.567205,23.416872,6.156364,3.197051,0.598706,37.372880,1.588544,47.575947
cuda,DebertaV2ForQuestionAnswering,2,11.870480,17.664081,5.235013,23.114202,7.319022,3.661410,0.600328,37.583183,0.577398,48.688372
cuda,DistilBertForMaskedLM,128,1.193197,3.208848,1.285366,5.070585,1.790962,0.835550,0.122838,1.398726,4.603352,1.140869
