dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,densenet121,4,1.068,1.4463,4.5837
cuda,maml_omniglot,1,1.0344,1.1039,2.7103
cuda,drq,1,1.0762,1.0879,2.5751
cuda,timm_vision_transformer,8,1.0509,1.3387,2.5483
cuda,pytorch_CycleGAN_and_pix2pix,1,1.1981,1.3195,1.8546
cuda,BERT_pytorch,16,0.0,1.6844,1.8241
cuda,mobilenet_v3_large,32,1.1925,1.4467,1.797
cuda,dcgan,32,1.0593,1.1236,1.7933
cuda,resnet18,16,1.14,1.3783,1.7442
cuda,resnext50_32x4d,8,1.0923,1.3811,1.7418
cuda,squeezenet1_1,32,1.0772,1.1455,1.6396
cuda,shufflenet_v2_x1_0,128,1.2854,1.3966,1.6012
cuda,timm_efficientnet,32,1.1105,1.4142,1.5068
cuda,timm_resnest,32,1.2719,1.2968,1.4815
cuda,hf_Albert,8,1.4617,1.4505,1.4806
cuda,timm_regnet,32,1.1931,1.4689,1.4706
cuda,timm_nfnet,128,0.6914,0.9987,1.4192
cuda,soft_actor_critic,256,1.0629,1.048,1.3882
cuda,mnasnet1_0,32,1.2412,1.37,1.321
cuda,mobilenet_v2,96,1.0539,1.3859,1.3206
cuda,pytorch_unet,1,1.1813,1.2068,1.2951
cuda,pytorch_stargan,16,1.0902,1.1068,1.2524
cuda,LearningToPaint,96,1.2398,1.2657,1.2169
cuda,timm_vovnet,32,1.1755,1.1911,1.148
cuda,resnet50,32,1.2607,1.2911,1.139
cuda,vgg16,64,0.9993,0.997,1.1303
cuda,Background_Matting,4,1.1493,1.1552,1.1302
cuda,hf_Bert,4,1.1271,1.1009,1.0821
cuda,alexnet,128,0.9958,0.9984,1.0673
cuda,attention_is_all_you_need_pytorch,256,1.0312,1.0061,0.9625
cuda,nvidia_deeprecommender,256,0.9996,0.9745,0.7789
cuda,mobilenet_v2_quantized_qat,96,1.4725,1.7548,0.0
cuda,resnet50_quantized_qat,32,1.3433,1.6914,0.0
cuda,timm_efficientdet,1,0.1271,1.3678,0.0
cuda,hf_GPT2,4,1.4461,1.2719,0.0
cuda,pytorch_struct,200,1.0161,1.0626,0.0
cuda,hf_Bart,4,1.0575,1.0625,0.0
cuda,hf_Longformer,2,1.1248,1.0343,0.0
cuda,speech_transformer,32,1.1124,1.0196,0.0
cuda,demucs,4,1.0006,0.9991,0.0
cuda,yolov3,16,0.9967,0.996,0.0
cuda,moco,32,1.0938,0.9955,0.0
cuda,tts_angular,64,1.0098,0.9893,0.0
cuda,vision_maskrcnn,4,0.0,0.97,0.0
cuda,hf_DistilBert,8,1.0087,0.9664,0.0
cuda,hf_T5,8,0.0,0.8975,0.0
cuda,hf_BigBird,2,0.9844,0.8628,0.0
cuda,fastNLP_Bert,6,1.2982,0.0,0.0
cuda,Super_SloMo,0,0.0,0.0,0.0
cuda,detectron2_maskrcnn,0,0.0,0.0,0.0
cuda,dlrm,0,0.0,0.0,0.0
cuda,fambench_xlmr,0,0.0,0.0,0.0
cuda,hf_Reformer,0,0.0,0.0,0.0
cuda,maml,0,0.0,0.0,0.0
cuda,opacus_cifar10,0,0.0,0.0,0.0
cuda,pyhpc_equation_of_state,0,0.0,0.0,0.0
cuda,pyhpc_isoneutral_mixing,0,0.0,0.0,0.0
cuda,pyhpc_turbulent_kinetic_energy,0,0.0,0.0,0.0
cuda,tacotron2,0,0.0,0.0,0.0
