dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,100.332,128,1.0,1.0,1190.0,1191.0,0.9992,0.3808
cuda,huggingface,MobileBertForQuestionAnswering,62.8829,32,1.0,1.0,1663.0,1663.0,1.0,0.9993
cuda,huggingface,MobileBertForMaskedLM,62.8098,16,1.0,1.0,1637.0,1637.0,1.0,0.9991
cuda,timm_models,nasnetalarge,27.5988,16,1.0,1.0,1530.0,1530.0,1.0,0.9996
cuda,timm_models,pnasnet5large,21.0823,16,1.0,1.0,1153.0,1153.0,1.0,0.9995
cuda,timm_models,hrnet_w18,17.9414,128,1.0,1.0,1471.0,1471.0,1.0,0.9996
cuda,timm_models,dpn107,16.4173,64,1.0,1.0,973.0,973.0,1.0,0.9984
cuda,huggingface,MegatronBertForCausalLM,15.6992,8,1.0,1.0,782.0,782.0,1.0,0.9984
cuda,huggingface,MegatronBertForQuestionAnswering,15.6011,8,1.0,1.0,770.0,770.0,1.0,0.9985
cuda,timm_models,tf_mixnet_l,15.1796,128,1.0,1.0,489.0,489.0,1.0,0.9988
cuda,torchbench,yolov3,15.1285,16,5.0,3.0,323.0,325.0,0.9938,0.9969
cuda,torchbench,vision_maskrcnn,14.1648,4,246.0,266.0,3678.0,11350.0,0.3241,0.4387
cuda,huggingface,XLNetLMHeadModel,13.8256,8,1.0,1.0,965.0,965.0,1.0,0.9994
cuda,huggingface,MT5ForConditionalGeneration,12.5758,4,1.0,1.0,1242.0,1242.0,1.0,0.999
cuda,timm_models,mixnet_l,11.8273,128,1.0,1.0,474.0,474.0,1.0,0.999
cuda,torchbench,timm_regnet,10.5583,32,1.0,1.0,447.0,447.0,1.0,0.9987
cuda,huggingface,MBartForConditionalGeneration,10.0698,8,1.0,1.0,1287.0,1287.0,1.0,0.9992
cuda,huggingface,BartForConditionalGeneration,9.7753,2,1.0,1.0,1309.0,1309.0,1.0,0.9991
cuda,torchbench,maml,9.6782,1,23.0,23.0,751.0,1199.0,0.6264,0.5778
cuda,timm_models,swin_base_patch4_window7_224,9.4703,64,1.0,1.0,1428.0,1428.0,1.0,0.9989
cuda,torchbench,hf_Longformer,9.4033,1,4.0,4.0,3324.0,3328.0,0.9988,0.9956
cuda,huggingface,AllenaiLongformerBase,9.1004,1,4.0,4.0,3319.0,3321.0,0.9994,0.9957
cuda,timm_models,fbnetv3_b,9.0363,128,1.0,1.0,456.0,456.0,1.0,0.9985
