dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,14.230049,12.824441,6.092173,2.045382,8.264164,3.403944,1.302237,0.267817,0.000005,8.185614,4.315739
cuda,Background_Matting,4,14.147021,13.292691,6.959031,2.686116,9.954628,5.063122,2.520203,0.268257,0.505929,6.283267
cuda,LearningToPaint,96,6.066055,5.698076,3.164262,0.956060,3.701143,1.210569,0.577525,0.087421,0.221453,1.752970
cuda,Super_SloMo,6,14.509533,13.409863,7.538746,2.721219,10.219418,5.445177,2.083553,0.118859,0.367317,5.852805
cuda,alexnet,128,1.783754,1.717032,1.435050,0.191345,2.622377,0.711815,0.248166,0.012765,0.167557,1.551479
cuda,attention_is_all_you_need_pytorch,256,29.892615,28.661499,21.576093,2.005321,24.030019,3.915030,1.502026,0.310555,0.588474,9.036301,5.157429
cuda,dcgan,32,1.875187,1.796200,1.360672,0.174081,1.884029,0.172658,0.075763,0.011617,0.106780,0.811591
cuda,demucs,4,0.223758
cuda,densenet121,4,36.903046,34.809398,18.056937,6.484597,22.923902,13.482983,4.222724,0.834492,0.889206,12.500030
cuda,dlrm,1024,1.662805,1.505427,1.099031,0.149000,2.018522,0.337399,0.101057,0.014319,0.116399,1.191858
cuda,drq,1,2.249675,2.080158,1.706016,0.116281,2.676235,0.114741,0.060010,0.013152,0.362611,1.456789
cuda,fastNLP_Bert,6,15.463057,13.943047,8.064307,1.799214,11.426612,3.218896,1.345308,0.250889,0.764096,4.244067,6.018528
cuda,functorch_dp_cifar10,64,5.291810,5.083438,2.837306,1.079313,5.324128,2.065313,0.620888,0.060380,3.492686,7.099940,3.306283
cuda,hf_Albert,8,10.179324,8.879260,3.386270,1.965587,6.430763,2.856399,1.046986,0.142527,3.325082,8.419390,2.787997
cuda,hf_Bart,4,18.957111,17.286616,9.088722,2.680181,12.998305,4.203085,1.714954,0.365203,2.790681,3.629203,9.498790
cuda,hf_Bert,4,13.200234,11.682965,5.751840,1.797685,8.623387,3.106405,1.245657,0.249486,0.661170,5.418357,0.352637
cuda,hf_DistilBert,8,6.647856,6.043869,2.985043,0.942785,4.917153,1.599019,0.663431,0.108649,2.135567,5.055221,1.828496
