,Compiler,torchbench,huggingface,timm_models
eager,eager,0.98x,0.99x,0.99x
aot_eager,aot_eager,0.86x,0.92x,0.88x
inductor,inductor,0.84x,0.75x,1.02x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.99x,1.04x,1.16x
