dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,adv_inception_v3,128,1,1,408,408,1.0000,0.9985,2.0125
cuda,beit_base_patch16_224,128,1,1,416,416,1.0000,0.9973,1.9209
cuda,botnet26t_256,128,1,1,279,279,1.0000,0.9970,2.6548
cuda,cait_m36_384,4,1,1,1370,1370,1.0000,0.9993,7.9623
cuda,coat_lite_mini,128,1,1,550,550,1.0000,0.9976,1.8008
cuda,convit_base,64,26,26,375,528,0.7102,0.6600,0.7804
cuda,convmixer_768_32,64,1,1,296,296,1.0000,0.9975,1.0599
cuda,convnext_base,64,1,1,456,456,1.0000,0.9979,2.7141
cuda,crossvit_9_240,64,27,27,539,628,0.8583,0.9399,1.9234
cuda,cspdarknet53,64,1,1,305,305,1.0000,0.9978,6.2546
cuda,deit_base_distilled_patch16_224,128,1,1,313,313,1.0000,0.9969,1.1737
cuda,densenet121,128,13,13,565,571,0.9895,0.9961,6.4157
cuda,dla102,128,1,1,485,485,1.0000,0.9986,2.4662
cuda,dm_nfnet_f0,128,1,1,590,590,1.0000,0.9985,9.1348
cuda,dpn107,64,1,1,980,980,1.0000,0.9989,16.2717
cuda,eca_botnext26ts_256,128,1,1,321,321,1.0000,0.9972,2.8851
cuda,eca_halonext26ts,128,1,1,342,342,1.0000,0.9973,3.0825
cuda,ecaresnet101d,128,1,1,692,692,1.0000,0.9987,4.2525
cuda,ese_vovnet19b_dw,128,1,1,133,133,1.0000,0.9956,1.5543
cuda,fbnetc_100,128,1,1,258,258,1.0000,0.9973,4.5108
cuda,fbnetv3_b,128,1,1,456,456,1.0000,0.9981,9.0558
cuda,gernet_l,128,1,1,246,246,1.0000,0.9973,5.0807
cuda,ghostnet_100,128,1,1,508,508,1.0000,0.9979,2.8223
cuda,gluon_inception_v3,128,1,1,408,408,1.0000,0.9979,1.9239
cuda,gluon_senet154,64,1,1,979,979,1.0000,0.9994,8.7936
cuda,gluon_xception65,32,1,1,485,485,1.0000,0.9987,1.9123
cuda,gmixer_24_224,128,1,1,503,503,1.0000,0.9972,2.2404
cuda,gmlp_s16_224,128,1,1,410,410,1.0000,0.9980,2.0438
cuda,hardcorenas_a,128,1,1,184,184,1.0000,0.9968,2.0242
cuda,hrnet_w18,128,1,1,1471,1471,1.0000,0.9996,18.0711
cuda,inception_v3,128,1,1,408,408,1.0000,0.9986,1.9095
cuda,jx_nest_base,64,1,1,812,812,1.0000,0.9986,4.7401
cuda,lcnet_050,128,1,1,126,126,1.0000,0.9954,1.3842
cuda,legacy_senet154,64,1,1,979,979,1.0000,0.9992,5.4270
cuda,levit_128,128,1,1,612,612,1.0000,0.9982,2.4739
cuda,mixer_b16_224,128,1,1,206,206,1.0000,0.9958,0.8583
cuda,mixnet_l,128,1,1,474,474,1.0000,0.9985,11.9147
cuda,mnasnet_100,128,1,1,205,205,1.0000,0.9954,3.1340
cuda,mobilenetv2_100,128,1,1,205,205,1.0000,0.9968,3.1253
cuda,mobilenetv3_large_100,128,1,1,233,233,1.0000,0.9970,3.0232
cuda,mobilevit_s,128,1,1,390,390,1.0000,0.9976,4.1429
cuda,nasnetalarge,16,1,1,1530,1530,1.0000,0.9995,27.8158
cuda,nfnet_l0,128,1,1,521,521,1.0000,0.9983,5.5191
cuda,pit_b_224,64,1,1,370,370,1.0000,0.9973,1.4564
cuda,pnasnet5large,16,1,1,1153,1153,1.0000,0.9994,21.3789
cuda,poolformer_m36,64,1,1,617,617,1.0000,0.9978,5.2918
cuda,regnety_002,128,1,1,267,267,1.0000,0.9978,4.0052
cuda,repvgg_a2,128,1,1,231,231,1.0000,0.9968,4.8010
cuda,res2net101_26w_4s,128,1,1,842,842,1.0000,0.9991,5.3746
cuda,res2net50_14w_8s,128,1,1,721,721,1.0000,0.9990,3.7407
cuda,res2next50,128,1,1,417,417,1.0000,0.9985,1.9987
cuda,resmlp_12_224,128,1,1,179,179,1.0000,0.9955,0.7931
cuda,resnest101e,64,1,1,1006,1006,1.0000,0.9992,7.4456
cuda,resnet18,128,1,1,90,90,1.0000,0.9946,0.4108
cuda,rexnet_100,128,1,1,359,359,1.0000,0.9979,4.8445
cuda,sebotnet33ts_256,128,1,1,406,406,1.0000,0.9975,4.0136
cuda,selecsls42b,128,1,1,174,174,1.0000,0.9969,0.5702
cuda,spnasnet_100,128,1,1,253,253,1.0000,0.9971,4.4084
cuda,swin_base_patch4_window7_224,64,1,1,1402,1402,1.0000,0.9987,9.5797
cuda,swsl_resnext101_32x16d,32,1,1,450,450,1.0000,0.9989,2.2398
cuda,tf_efficientnet_b0,128,1,1,294,294,1.0000,0.9976,4.1836
cuda,tf_mixnet_l,128,1,1,489,489,1.0000,0.9985,15.4781
cuda,tinynet_a,128,1,1,343,343,1.0000,0.9979,4.7018
cuda,tnt_s_patch16_224,128,1,1,813,813,1.0000,0.9982,3.6158
cuda,twins_pcpvt_base,128,1,1,1041,1041,1.0000,0.9988,5.7188
cuda,visformer_small,128,1,1,305,305,1.0000,0.9975,1.1360
cuda,vit_base_patch16_224,128,1,1,312,312,1.0000,0.9965,1.1523
cuda,volo_d1_224,128,1,1,566,566,1.0000,0.9988,2.7257
cuda,xcit_large_24_p8_224,11,1,1,1298,1298,1.0000,0.9991,6.2513
